t0,t1,rule
2021-01-21T14:30:00.000000Z,2021-01-21T17:30:00.000000Z,"busiest 3 h window in 2020-12-01T00:00:00Z..2021-06-30T23:59:59Z, 10 catalogue events"
2021-03-23T17:15:00.000000Z,2021-03-23T20:15:00.000000Z,"busiest 3 h window in 2020-12-01T00:00:00Z..2021-06-30T23:59:59Z, 11 catalogue events"
