station,network,code,band,rate,km,route,P,S,picks,fetched
HP.LTK,HP,LTK,HH,100.0,22.868747133660772,NOA,21,18,39,True
HA.ACOR,HA,ACOR,HH,100.0,39.93762275280131,NOA,19,16,35,True
HP.GUR,HP,GUR,HH,100.0,72.51860915131863,NOA,18,16,34,True
HL.MET3,HL,MET3,EH,100.0,70.28277795716609,NOA,18,15,33,False
HL.LKR,HL,LKR,HH,100.0,50.75885339769061,NOA,16,14,30,True
HL.MET2,HL,MET2,HH,100.0,68.34031790407225,NOA,18,11,29,False
HL.KLV,HL,KLV,HH,100.0,84.86730085928735,NOA,17,12,29,True
HA.VILL,HA,VILL,HH,100.0,18.968833369962425,NOA,17,11,28,True
HA.MDRA,HA,MDRA,HH,100.0,35.58226545344419,NOA,15,13,28,False
HL.THVA,HL,THVA,HH,100.0,25.15730326183633,NOA,16,11,27,False
HA.EPID,HA,EPID,HH,100.0,65.13397159803091,NOA,15,12,27,False
HA.STFN,HA,STFN,HH,100.0,38.89359560939534,NOA,14,12,26,False
HA.THAL,HA,THAL,HH,100.0,42.337075265947405,NOA,14,11,25,False
HL.ATH,HL,ATH,HH,100.0,59.61811280512003,NOA,14,10,24,False
HA.ATHU,HA,ATHU,HH,100.0,65.2908014550095,NOA,13,11,24,False
HA.MRTH,HA,MRTH,HH,100.0,74.01648588878555,NOA,13,11,24,False
HL.DION,HL,DION,HH,100.0,74.10637083275759,NOA,13,11,24,False
HL.MET5,HL,MET5,EH,100.0,68.14926066846691,NOA,13,9,22,False
HA.KALE,HA,KALE,HH,100.0,86.4432140607295,NOA,11,11,22,False
HL.VLY,HL,VLY,HH,100.0,72.04712840370742,NOA,10,10,20,False
HL.KYMI,HL,KYMI,HH,100.0,99.1348681293612,NOA,10,9,19,False
HP.UPR,HP,UPR,HH,100.0,115.09069491906314,NOA,10,9,19,False
HL.MET6,HL,MET6,EH,100.0,71.2762455338877,NOA,13,5,18,False
HP.ANX,HP,ANX,HH,100.0,111.66801214600554,NOA,9,7,16,False
HP.VVK,HP,VVK,HH,100.0,115.08969902885347,NOA,9,7,16,False
HP.DRO,HP,DRO,HH,100.0,124.74841503561554,NOA,10,6,16,False
HP.EFP,HP,EFP,HH,100.0,107.19596372300302,NOA,8,7,15,False
HA.KARY,HA,KARY,HH,100.0,118.44030146581692,NOA,9,6,15,False
HA.LOUT,HA,LOUT,HH,100.0,26.022430864909147,NOA,8,6,14,False
HL.MET1,HL,MET1,HH,100.0,73.5138325229908,NOA,7,4,11,False
HP.SERG,HP,SERG,HH,100.0,94.07597076303205,NOA,5,5,10,False
HT.AGG,HT,AGG,HH,100.0,112.87767944779246,NOA,7,3,10,False
HL.AIGN,HL,AIGN,HH,100.0,58.58295922966079,NOA,5,4,9,False
HT.AOS2,HT,AOS2,HH,100.0,123.58241914706598,NOA,5,2,7,False
HA.LAKA,HA,LAKA,HH,100.0,98.06984213207262,NOA,1,0,1,False
HL.NEO,HL,NEO,HH,100.0,123.3929006744542,NOA,1,0,1,False
HA.ATAL,HA,ATAL,HH,100.0,55.19929317393103,NOA,0,0,0,False
HP.DSF,HP,DSF,HH,100.0,55.22815637960756,NOA,0,0,0,False
HL.PTL,HL,PTL,HH,100.0,69.0645895577617,NOA,0,0,0,False
HL.MET4,HL,MET4,EH,100.0,69.3518718295436,NOA,0,0,0,False
HA.MRKA,HA,MRKA,HH,100.0,70.29735813000826,NOA,0,0,0,False
HA.AXAR,HA,AXAR,HH,100.0,73.75311857389377,NOA,0,0,0,False
HT.KRND,HT,KRND,HH,100.0,90.94925106247923,NOA,0,0,0,False
HP.VLX,HP,VLX,HH,100.0,111.89963170341758,NOA,0,0,0,False
HT.XOR,HT,XOR,HH,100.0,129.88912391553308,NOA,0,0,0,False
