station,network,code,band,rate,km,route,P,S,picks,fetched
IV.PESA,IV,PESA,HH,100.0,38.46731469222757,INGV,71,70,141,True
IV.SENI,IV,SENI,EH,100.0,29.176019027462857,INGV,70,69,139,True
IV.AOI,IV,AOI,HH,100.0,50.886801510557895,INGV,70,67,137,True
IV.CRTC,IV,CRTC,HH,100.0,40.99642432305336,INGV,69,65,134,True
IV.MPAG,IV,MPAG,EH,100.0,58.10822238187569,INGV,66,38,104,True
IV.COR1,IV,COR1,EH,100.0,44.60594184127951,INGV,54,48,102,True
IV.CING,IV,CING,HH,100.0,65.75096284379207,INGV,66,35,101,False
IV.ARVD,IV,ARVD,HH,100.0,59.68881985530946,INGV,62,30,92,False
IV.NARO,IV,NARO,HH,100.0,70.9244658708949,INGV,60,24,84,False
IV.PIEI,IV,PIEI,HH,100.0,78.75074233980645,INGV,60,19,79,False
IV.EL6,IV,EL6,EH,100.0,72.29075448284506,INGV,62,15,77,False
IV.FRON,IV,FRON,EH,100.0,68.53476513028252,INGV,53,15,68,False
IV.SSFR,IV,SSFR,HH,100.0,72.52401354053914,INGV,51,9,60,False
IV.CESI,IV,CESI,HH,100.0,111.3597062809052,INGV,57,3,60,False
IV.ATBU,IV,ATBU,EH,100.0,82.13217061155977,INGV,46,11,57,False
IV.ATPI,IV,ATPI,EH,100.0,93.0001990454392,INGV,52,5,57,False
IV.MML1,IV,MML1,EH,100.0,98.21993098411016,INGV,50,6,56,False
IV.ATFO,IV,ATFO,HH,100.0,89.31981735567834,INGV,46,9,55,False
IV.CSP1,IV,CSP1,EH,100.0,96.9769482072412,INGV,51,3,54,False
IV.MF5,IV,MF5,EH,100.0,108.6854070102668,INGV,49,4,53,False
IV.MC2,IV,MC2,EH,100.0,117.07073549027788,INGV,52,1,53,False
IV.PE3,IV,PE3,EH,100.0,72.29726780949717,INGV,39,11,50,False
IV.ATPC,IV,ATPC,HH,100.0,87.4613219993815,INGV,47,3,50,False
IV.FOSV,IV,FOSV,EH,100.0,86.56179484870616,INGV,41,8,49,False
IV.FDMO,IV,FDMO,HH,100.0,104.3850406685995,INGV,44,5,49,False
IV.NRCA,IV,NRCA,HH,100.0,126.34790571630916,INGV,47,1,48,False
IV.APEC,IV,APEC,HH,100.0,84.95990910333713,INGV,36,8,44,False
IV.PARC,IV,PARC,HH,100.0,93.43044944558125,INGV,40,3,43,False
IV.CPGN,IV,CPGN,EH,100.0,82.02893652503943,INGV,40,2,42,False
IV.ATVO,IV,ATVO,HH,100.0,97.5944171477644,INGV,37,2,39,False
IV.MMO1,IV,MMO1,EH,100.0,117.9368542548934,INGV,36,3,39,False
IV.GUMA,IV,GUMA,HH,100.0,99.7783153028063,INGV,37,1,38,False
IV.ATSC,IV,ATSC,EH,100.0,78.40027081457451,INGV,35,2,37,False
IV.ASSB,IV,ASSB,HH,100.0,115.10694738784076,INGV,34,1,35,False
IV.CAFI,IV,CAFI,HH,100.0,129.54646484982592,INGV,33,2,35,False
IV.ATLO,IV,ATLO,EH,100.0,102.64147950561131,INGV,26,5,31,False
IV.SNTG,IV,SNTG,HH,100.0,84.1306807021401,INGV,21,8,29,False
IV.BADI,IV,BADI,EH,100.0,99.87629996839864,INGV,25,4,29,False
IV.MURB,IV,MURB,HH,100.0,100.53000598835666,INGV,27,1,28,False
IV.ATCC,IV,ATCC,EH,100.0,102.09827150913618,INGV,25,1,26,False
IV.PF6,IV,PF6,EH,100.0,91.97210239045836,INGV,23,1,24,False
IV.MNTT,IV,MNTT,EH,100.0,102.293052100298,INGV,20,2,22,False
IV.SAP2,IV,SAP2,EH,100.0,96.2055740735098,INGV,19,1,20,False
IV.ATMI,IV,ATMI,HH,100.0,109.56996803614273,INGV,19,1,20,False
IV.CRE,IV,CRE,HH,100.0,116.19437720942112,INGV,20,0,20,False
IV.ATVA,IV,ATVA,EH,100.0,112.59075730240474,INGV,18,0,18,False
7F.SIB2,7F,SIB2,EH,100.0,118.86016717616604,INGV,16,1,17,False
7F.SIB1,7F,SIB1,EH,100.0,118.51983023502083,INGV,14,1,15,False
7F.SIB3,7F,SIB3,EH,100.0,120.700160634832,INGV,14,1,15,False
IV.ATMC,IV,ATMC,EH,100.0,107.07364868137137,INGV,13,0,13,False
IV.OFFI,IV,OFFI,HH,100.0,117.89448660860604,INGV,12,0,12,False
IV.BRSN,IV,BRSN,EH,100.0,105.31587713903824,INGV,7,2,9,False
IV.PP3,IV,PP3,EH,100.0,68.66918201628216,INGV,8,0,8,False
IV.ASCOL,IV,ASCOL,EH,100.0,125.1947679185508,INGV,4,0,4,False
IV.BLLA,IV,BLLA,EH,100.0,70.88147403051549,INGV,3,0,3,False
VM.AMEN,VM,AMEN,HH,100.0,40.303033349508254,INGV,0,0,0,False
IV.RSM2,IV,RSM2,HH,100.0,70.07910102017136,INGV,0,0,0,False
IV.SSP9,IV,SSP9,EH,100.0,104.65470348862196,INGV,0,0,0,False
