operator,year,quarter,day,seed_tag,status,error,note,n_queries,n_retries,n_failed_queries,n_cached,seconds,bytes,events,events_fetched,scale,events_with_arrivals,p_manual,s_manual,p_automatic,s_automatic,p_unknown,s_unknown,p_total,s_total,readings,stations,readings_per_event,mag_lt1,mag_1_2,mag_2_3,mag_3_4,mag_ge4,mag_unknown,events_heldout_window,events_heldout_place,events_heldout_year,events_heldout_any,readings_heldout_any,heldout_readings_share,heldout_events_share,heldout_windows,events_est,events_with_arrivals_est,p_manual_est,s_manual_est,p_automatic_est,s_automatic_est,p_unknown_est,s_unknown_est,p_total_est,s_total_est,readings_est,readings_heldout_any_est,stations_list
NOA,2018,1,2018-01-28,39a,ok,,,1,0,0,0,23.531,1038849,64,64,1.0,64,698,400,0,0,0,0,698,400,1098,98,17.15625,0,30,26,2,1,5,0,1,0,1,16,0.014571948998178506,0.015625,corinth_thiva,64.0,64.0,698.0,400.0,0.0,0.0,0.0,0.0,698.0,400.0,1098.0,16.0,CQ.AKMS;CQ.ALEF;CQ.ASGA;CQ.NATA;CQ.TROD;HA.ATHU;HA.AXAR;HA.LOUT;HA.MAKR;HA.SNT5;HA.THAL;HA.TRIZ;HA.VILL;HC.FRMA;HC.KSTL;HC.TMBK;HI.KRK1;HI.RGE1;HI.SIT2;HL.ANKY;HL.APE;HL.ARG;HL.ATH;HL.DION;HL.DLFA;HL.EAG3;HL.EVR;HL.IDI;HL.IMMV;HL.JAN;HL.KARP;HL.KASA;HL.KEF3;HL.KEF4;HL.KEK;HL.KLNA;HL.KLV;HL.KSL;HL.KYMI;HL.LIA;HL.LXRA;HL.MHLO;HL.MNVA;HL.MTVA;HL.NEO;HL.NISR;HL.PENT;HL.PRGA;HL.PRK;HL.PSRA;HL.PTL;HL.RDO;HL.RLS;HL.SMG;HL.SMTH;HL.THL;HL.TNSA;HL.VLI;HL.VLS;HL.VLY;HL.YDRA;HL.ZKR;HP.ANX;HP.DRO;HP.EFP;HP.FSK;HP.GUR;HP.LTHK;HP.PVO;HP.PYL;HT.AGG;HT.ALN;HT.CHOS;HT.CMBO;HT.DMLN;HT.DRAG;HT.EVGI;HT.FNA;HT.GRG;HT.HORT;HT.IGT;HT.KAVA;HT.KOKK;HT.KPRO;HT.KRND;HT.LKD2;HT.NEST;HT.NYDR;HT.OUR;HT.PSDA;HT.SIGR;HT.THAS;HT.THR3;HT.THR6;HT.THR8;HT.THR9;HT.TSLK;IV.SCTE
NOA,2018,2,2018-04-08,39a,ok,,,1,0,0,0,27.872,751865,36,36,1.0,36,587,233,0,0,0,0,587,233,820,76,22.77777777777778,0,16,16,4,0,0,0,1,0,1,23,0.02804878048780488,0.027777777777777776,corinth_thiva,36.0,36.0,587.0,233.0,0.0,0.0,0.0,0.0,587.0,233.0,820.0,23.0,HA.ATHU;HA.AXAR;HA.LOUT;HA.MAKR;HA.SNT5;HA.THAL;HA.TRIZ;HA.VILL;HC.CHAN;HC.FRMA;HC.KSTL;HC.TMBK;HL.ALNA;HL.APE;HL.ATH;HL.DLFA;HL.EVR;HL.GVD;HL.IACM;HL.IDI;HL.IMMV;HL.JAN;HL.KARP;HL.KASA;HL.KEK;HL.KLV;HL.KYMI;HL.LXRA;HL.MHLO;HL.MNVA;HL.NEO;HL.NVR;HL.PATC;HL.PENT;HL.PTL;HL.RLS;HL.SKY;HL.THL;HL.VLI;HL.VLS;HL.ZKR;HP.ANX;HP.DRO;HP.EFP;HP.FSK;HP.GUR;HP.LTHK;HP.LTK;HP.PVO;HP.PYL;HT.AGG;HT.DMLN;HT.DRAG;HT.EVGI;HT.FNA;HT.GRG;HT.IGT;HT.KAVA;HT.KNT;HT.KOKK;HT.KPRO;HT.KRND;HT.LKD2;HT.NEST;HT.NYDR;HT.OUR;HT.PSDA;HT.SOH;HT.SRS;HT.THE;HT.THR3;HT.THR6;HT.THR8;HT.TSLK;HT.XOR;IV.SCTE
NOA,2018,3,2018-08-13,39a,ok,,,1,0,0,0,21.224,580342,31,31,1.0,31,410,206,0,0,0,0,410,206,616,91,19.870967741935484,0,19,10,1,0,1,0,3,0,3,38,0.06168831168831169,0.0967741935483871,corinth_thiva,31.0,31.0,410.0,206.0,0.0,0.0,0.0,0.0,410.0,206.0,616.0,38.0,HA.ATHU;HA.AXAR;HA.KALE;HA.LOUT;HA.SNT5;HA.VILL;HC.CHAN;HC.KNDR;HC.KSTL;HC.RODP;HI.LMS2;HI.NPS1;HI.SIT2;HL.ANKY;HL.APE;HL.ARG;HL.ATH;HL.DION;HL.DLFA;HL.EFSA;HL.EVR;HL.GVD;HL.IDI;HL.IMMV;HL.ITM;HL.JAN;HL.KARP;HL.KASA;HL.KEK;HL.KLV;HL.KTHA;HL.KVLA;HL.KYMI;HL.KZN;HL.LIA;HL.LXRA;HL.MHLO;HL.MNVA;HL.NEO;HL.NVR;HL.PENT;HL.PRK;HL.PSRA;HL.PTL;HL.RDO;HL.RLS;HL.SMHA;HL.SMTH;HL.THL;HL.VERA;HL.VLI;HL.VLS;HL.VLY;HL.ZKR;HP.ANX;HP.EFP;HP.FSK;HP.GUR;HP.LTHK;HP.PDO;HP.PVO;HP.PYL;HP.VVK;HT.AGG;HT.ALN;HT.CHOS;HT.DMLN;HT.EVGI;HT.FNA;HT.HORT;HT.IGT;HT.KAVA;HT.KOKK;HT.KPRO;HT.KRND;HT.LKD2;HT.LRSO;HT.NEST;HT.NYDR;HT.OUR;HT.SIGR;HT.SOH;HT.SRS;HT.THAS;HT.THE;HT.THR3;HT.THR5;HT.THR6;HT.TSLK;HT.TYRN;IV.SCTE
NOA,2018,4,2018-12-29,39a,ok,,,1,0,0,0,46.134,1592185,74,74,1.0,74,1238,430,0,0,0,0,1238,430,1668,127,22.54054054054054,0,21,37,12,0,4,0,8,0,8,122,0.07314148681055156,0.10810810810810811,corinth_thiva,74.0,74.0,1238.0,430.0,0.0,0.0,0.0,0.0,1238.0,430.0,1668.0,122.0,HA.ATHU;HA.AXAR;HA.KALE;HA.KARY;HA.LOUT;HA.MAKR;HA.VILL;HC.CHAN;HC.KNDR;HC.TMBK;HI.ARG2;HI.MSL1;HI.PYL1;HL.ACRA;HL.AIDA;HL.ALXA;HL.ANKY;HL.APE;HL.ARG;HL.ATH;HL.CLEM;HL.DION;HL.DLFA;HL.EAG2;HL.EFSA;HL.EVR;HL.GVD;HL.IACM;HL.IDI;HL.IMMV;HL.ITM;HL.JAN;HL.KARP;HL.KEK;HL.KFL1;HL.KFL3;HL.KLV;HL.KSL;HL.KVLA;HL.KYMI;HL.KYPS;HL.KZN;HL.LCHA;HL.LIA;HL.LKR;HL.MHLO;HL.MNVA;HL.MTHA;HL.NEO;HL.NISR;HL.NOAC;HL.NVR;HL.ORTH;HL.PENT;HL.PLG;HL.PRK;HL.PTL;HL.PYL1;HL.PYL2;HL.PYL4;HL.RDO;HL.RLS;HL.SAP3;HL.SKY;HL.SMG;HL.SMHA;HL.SMTH;HL.TETR;HL.THL;HL.VLI;HL.VLS;HL.VLY;HL.XANC;HL.YDRA;HL.YRMI;HL.ZARA;HL.ZKR;HP.AMT;HP.ANX;HP.AXS;HP.DRO;HP.EFP;HP.FSK;HP.GUR;HP.LTHK;HP.LTK;HP.PDO;HP.PVO;HP.PYL;HP.SERG;HP.UPR;HT.ALN;HT.AOS2;HT.CMBO;HT.DMLN;HT.EVGI;HT.FNA;HT.GRG;HT.HORT;HT.KAVA;HT.KNT;HT.KOKK;HT.KPRO;HT.KRND;HT.LIT;HT.LKD2;HT.LRSO;HT.NEST;HT.NYDR;HT.OUR;HT.PSDA;HT.SIGR;HT.SOH;HT.SRS;HT.THAS;HT.THE;HT.THR2;HT.THR3;HT.THR5;HT.THR6;HT.THR8;HT.THR9;HT.TSLK;HT.TYRN;HT.XOR;IV.SCTE;MN.CUC
