weight,best_threshold,precision,recall,detection_mcc,mcc_ci_lo,mcc_ci_hi,source
jma_wc,0.5,0.834,0.8,0.776,0.771,0.78,"paper_draft.qmd sec-detection table of 2026-08-10, transcribed"
jma_wc_ft_global_v7,0.45,0.842,0.781,0.771,0.766,0.776,"paper_draft.qmd sec-detection table of 2026-08-10, transcribed"
jma_wc_ft_global_v7_eventclean,0.45,0.799,0.78,0.745,0.74,0.75,"paper_draft.qmd sec-detection table of 2026-08-10, transcribed"
