station,network,code,band,rate,km,route,P,S,picks,fetched
IV.GUMA,IV,GUMA,HH,100.0,31.70823766168345,INGV,134,127,261,True
XO.AM05,XO,AM05,EH,100.0,25.683467950874658,INGV,123,112,235,True
IV.LNSS,IV,LNSS,HH,100.0,25.88925515913339,INGV,115,113,228,True
IV.RM33,IV,RM33,EH,100.0,36.70278355887831,INGV,111,103,214,True
IV.CAMP,IV,CAMP,HH,100.0,40.835202854702366,INGV,113,100,213,True
IV.MC2,IV,MC2,EH,100.0,11.107359892356603,INGV,105,101,206,True
IV.TERO,IV,TERO,HH,100.0,46.45951802955727,INGV,108,92,200,False
IV.T1299,IV,T1299,EH,100.0,25.916673776669803,INGV,90,88,178,False
IV.ARRO,IV,ARRO,EH,100.0,39.61574595021223,INGV,88,46,134,False
IV.GIGS,IV,GIGS,HH,100.0,56.46833136426952,INGV,78,46,124,False
IV.OFFI,IV,OFFI,HH,100.0,48.296518113992114,INGV,112,5,117,False
IV.ASSB,IV,ASSB,HH,100.0,43.685568943954,INGV,68,46,114,False
IV.ATCC,IV,ATCC,EH,100.0,54.95513247229024,INGV,72,37,109,False
IV.FIAM,IV,FIAM,HH,100.0,62.48932392050517,INGV,63,37,100,False
IV.SNTG,IV,SNTG,HH,100.0,49.22063608867822,INGV,52,38,90,False
IV.FOSV,IV,FOSV,EH,100.0,58.94313467727263,INGV,55,33,88,False
IV.CESX,IV,CESX,HH,100.0,49.331802984982104,INGV,56,27,83,False
IV.FDMO,IV,FDMO,HH,100.0,23.0349790349148,INGV,39,38,77,False
IV.TRTR,IV,TRTR,HH,100.0,65.60152148767484,INGV,73,0,73,False
IV.ARVD,IV,ARVD,HH,100.0,75.5287743967185,INGV,41,21,62,False
MN.AQU,MN,AQU,HH,100.0,58.17486234392748,INGV,41,20,61,False
IV.VCEL,IV,VCEL,EH,100.0,76.93101983063998,INGV,51,6,57,False
IV.MURB,IV,MURB,HH,100.0,67.68053739146637,INGV,43,9,52,False
IV.EL6,IV,EL6,EH,100.0,55.524960560762246,INGV,32,18,50,False
IV.CSP1,IV,CSP1,EH,100.0,30.118521938681244,INGV,24,24,48,False
IV.T0110,IV,T0110,HH,100.0,86.25527734829669,INGV,44,4,48,False
IV.ATFO,IV,ATFO,HH,100.0,73.96799464480864,INGV,42,5,47,False
IV.PP3,IV,PP3,EH,100.0,73.28384060166049,INGV,42,0,42,False
IV.MGAB,IV,MGAB,HH,100.0,81.83184427889358,INGV,40,0,40,False
IV.AOI,IV,AOI,HH,100.0,89.45867815465762,INGV,34,3,37,False
IV.SRES,IV,SRES,HH,100.0,82.2515614037152,INGV,34,2,36,False
IV.ATVO,IV,ATVO,HH,100.0,83.83776391793181,INGV,34,2,36,False
IV.SACS,IV,SACS,HH,100.0,97.88655914868262,INGV,36,0,36,False
IV.FSSB,IV,FSSB,HH,100.0,99.68122959960172,INGV,34,1,35,False
IV.CAFI,IV,CAFI,HH,100.0,108.203818827321,INGV,35,0,35,False
IV.MMO1,IV,MMO1,EH,100.0,19.279824596403163,INGV,17,16,33,False
IV.FAGN,IV,FAGN,HH,100.0,73.77443711380626,INGV,30,3,33,False
