code,station,ambiguous,lat,lon,jma_number,km
N.SUZH,,,37.526666666666664,137.28433333333334,2512,3.223308945740954
E.IDES,,,37.44,137.25983333333335,1270,6.731458321058517
E.YUOS,,,37.514833333333335,137.3445,1269,6.775033754314633
SUZU,,,37.45033333333333,137.35866666666666,574,9.576774329832848
N.UCUH,,,37.34583333333333,137.24366666666666,2509,17.298792022430856
N.YGDH,,,37.364333333333335,137.04133333333334,2510,25.202632422236693
N.AMZH,,,37.22233333333333,136.96883333333332,2508,40.76275630184868
HEGURA,,,37.8505,136.91733333333335,573,49.8205358522244
N.WMZH,,,37.29066666666667,136.75783333333334,2806,50.87905842260291
N.TGIH,,,37.19016666666667,136.71766666666667,2511,59.75428753387771
DP.NNJ,,,36.98416666666667,136.962,1320,63.50527522936081
N.SHKH,,,37.053333333333335,136.82066666666665,2507,63.61647507601581
N.HIMH,,,36.88666666666667,136.92766666666665,2527,74.63347369161778
HAKUI,,,36.927166666666665,136.77933333333334,575,77.10109402263099
N.UOZH,,,36.791333333333334,137.46883333333332,2514,80.7431465011181
N.IGWH,,,36.93783333333333,137.848,2568,80.7856926878834
E.NUJ2,,,37.051833333333335,138.02683333333334,855,83.46893686279087
N.TOYH,,,36.72933333333334,137.2625,2528,85.69300685816246
N.DMOH,,,36.714166666666664,137.03783333333334,2526,89.76931085123685
NAKAMA,,,37.106,138.15983333333332,554,90.07232207056589
V.NYK2,,,36.95583333333333,138.03816666666665,4849,91.02738926297398
E.FKA,,,37.8215,138.22116666666668,812,91.03587477105557
N.KHTH,,,36.6705,137.424,2818,93.23810944506089
N.TBTH,,,36.738,136.79066666666665,2505,94.7873949289532
N.OTNH,,,36.80883333333333,137.90383333333332,2817,95.18933401543049
TTATEY,,,36.60816666666667,137.33033333333333,572,99.3073610935742
N.MKGH,,,36.856833333333334,138.09666666666666,2580,102.35955485893821
N.HBAH,,,36.69833333333333,137.84816666666666,2709,102.83186771359469
DP.TYJ,,,36.58883333333333,137.48916666666668,1367,103.16275860538357
N.YTOH,,,36.57116666666667,137.1595,2525,103.74161271153905
SADO,,,38.04,138.25716666666668,551,105.51332200947381
N.IMIH,,,36.57366666666667,136.95833333333334,2524,106.64882773105437
N.MKOH,,,36.9425,138.25933333333333,2570,107.3104195252771
N.HKKH,,,36.644,137.85933333333332,2812,108.59271375848607
DP.NRJ,,,36.516,137.23516666666666,1319,109.45466397426478
N.MAKH,,,37.05433333333333,138.39666666666668,2569,111.31891896641231
N.KZKF,,,37.297666666666665,138.51433333333333,2960,112.1927096411796
N.OSTH,,,36.63166666666667,137.96566666666666,2813,114.59176910404231
N.TGKH,,,36.7075,138.09633333333332,2694,114.6047583588638
N.OM2H,,,36.532666666666664,137.82016666666667,2700,118.12832033265411
N.OMCH,,,36.49466666666667,137.72383333333335,2740,118.82580879068426
N.TOGH,,,36.440666666666665,137.03916666666666,2513,119.55880444739297
N.SNBH,,,36.553333333333335,137.9415,2795,120.96518369779618
E.OMJ,,,36.67066666666667,138.17883333333333,818,122.48102428858354
N.NZWH,,,36.91016666666667,138.44083333333333,2695,122.68767276069948
N.SSSH,,,36.577,138.04783333333333,2693,123.68654101618749
E.AKD,,,37.99583333333333,138.533,814,123.97350955157155
IZUMOZ,,,37.534666666666666,138.70633333333333,553,126.73119133844075
N.NKNH,,,36.74316666666667,138.37583333333333,2529,129.2020559840158
E.OSD,,,38.245333333333335,138.40783333333334,813,129.77384047608447
E.TNN,,,36.94533333333333,138.5915,805,132.26212287412687
MATSUS,,,36.545833333333334,138.20383333333334,67,134.63937698187385
N.KWNH,,,37.17283333333334,138.744,2566,135.29086526679785
TU.SAD,,,38.3195,138.5025,1126,141.3957553044451
