station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
MN.BLY,MN,BLY,HH,100.0,44.7488,17.1839,256.0,104.0695325588964,INGV,55,45,100,True
HU.BEHE,HU,BEHE,HH,100.0,46.4706,16.7757,303.0,123.4324722146294,eida,48,41,89,True
CR.MOSL,CR,MOSL,BH,50.0,45.6135,16.7544,480.0,44.12053357472496,eida,33,34,67,False
CR.OZLJ,CR,OZLJ,HH,100.0,45.61527,15.467266,155.0,65.46655897243296,eida,34,32,66,False
CR.ZAG,CR,ZAG,HH,100.0,45.829442,15.99417,155.0,49.99897549377885,eida,42,15,57,False
SL.BOJS,SL,BOJS,HH,200.0,45.5043,15.2518,252.0,79.18216713613589,eida,25,23,48,True
SL.CRES,SL,CRES,HH,200.0,45.826,15.4569,431.0,77.05878131178116,eida,23,14,37,True
SL.GCIS,SL,GCIS,HH,200.0,45.8672,15.6275,385.0,69.92758573108773,eida,18,18,36,True
SL.KOGS,SL,KOGS,HH,200.0,46.4481,16.2504,245.0,114.31684927143554,eida,20,14,34,True
SL.GOLS,SL,GOLS,HH,200.0,46.0108,15.6245,559.0,82.15461655470459,eida,11,18,29,False
SL.PDKS,SL,PDKS,HH,200.0,46.0612,14.9977,679.0,121.15090288840273,eida,15,12,27,False
SL.DOBS,SL,DOBS,HH,200.0,46.1495,15.4695,465.0,101.66670664877434,eida,12,11,23,False
SL.VISS,SL,VISS,HH,200.0,45.8033,14.8393,399.0,118.43310338490306,eida,9,11,20,False
SL.GROS,SL,GROS,HH,200.0,46.461,15.5018,930.0,129.7471402347981,eida,11,4,15,False
SL.LEGS,SL,LEGS,HH,200.0,45.9488,15.3177,390.0,93.88617814516957,eida,7,7,14,False
SL.GBRS,SL,GBRS,HH,200.0,45.5311,14.8101,610.2,113.71706798038616,eida,10,4,14,False
Z3.A264A,Z3,A264A,HH,100.0,46.159675,17.289686,176.0,114.61713772896984,eida,2,2,4,False
Z3.A273A,Z3,A273A,HH,100.0,45.916386,17.81597,151.0,132.89975239586593,eida,2,2,4,False
SL.KBZP,SL,KBZP,HH,200.0,45.9405,15.439,208.0,86.12213669042207,eida,0,0,0,False
SL.CESS,SL,CESS,HH,200.0,45.9733,15.4632,372.0,87.25792079246986,eida,0,0,0,False
