station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
CZ.NKC,CZ,NKC,HH,100.0,50.2331,12.4479,564.0,0.7816126227441975,eida,425,475,900,True
WB.KOPD,WB,KOPD,EH,250.0,50.20319,12.47473,536.0,4.455009494458678,eida,0,0,0,False
WB.HRED,WB,HRED,EH,250.0,50.214247,12.564908,589.0,8.660850663615642,eida,0,0,0,False
WB.SNED,WB,SNED,EH,250.0,50.310878,12.501314,756.0,8.683632460451808,eida,0,0,0,False
WB.PLED,WB,PLED,EH,250.0,50.2089,12.337667,589.0,8.707181716679601,eida,0,0,0,False
WB.LOUD,WB,LOUD,EH,250.0,50.277533,12.574492,692.0,9.784312069777007,eida,0,0,0,False
WB.HOPD,WB,HOPD,EH,250.0,50.223778,12.265472,731.0,13.24814166167878,eida,0,0,0,False
WB.BUBD,WB,BUBD,EH,250.0,50.381739,12.513619,745.7,16.394630174141707,eida,0,0,0,False
WB.POLD,WB,POLD,EH,250.0,50.156028,12.234972,589.0,17.928168445063935,eida,0,0,0,False
BW.LAEN,BW,LAEN,EH,200.0,50.182812,12.185856,675.0,19.842102254154483,eida,0,0,0,True
BW.VIEL,BW,VIEL,EH,200.0,50.18565,12.10279,670.0,25.433954074340424,eida,0,0,0,True
BW.MROB,BW,MROB,EH,200.0,50.083145,12.178588,570.0,26.037286696177784,eida,0,0,0,True
BW.MKON,BW,MKON,EH,200.0,50.018635,12.23383,614.0,29.03868764967072,eida,0,0,0,True
BW.MGBB,BW,MGBB,EH,200.0,49.971962,12.214974,650.0,34.192729733280345,eida,0,0,0,True
TH.PLN,TH,PLN,HH,100.0,50.48522,12.15733,432.0,34.2692837045029,eida,0,0,0,False
BW.MANZ,BW,MANZ,HH,200.0,49.986198,12.1083,635.0,37.28265882698141,eida,0,0,0,False
BW.MSBB,BW,MSBB,EH,200.0,50.031429,11.972771,622.0,41.16579755844462,eida,0,0,0,False
BW.MZEK,BW,MZEK,EH,200.0,49.962593,11.94743,627.0,47.28806561136488,eida,0,0,0,False
TH.MOB2,TH,MOB2,HH,100.0,50.69544,12.31685,362.0,51.50968833048571,eida,0,0,0,False
TH.GRZ1,TH,GRZ1,HH,100.0,50.6908,12.21964,401.0,52.70941272210004,eida,0,0,0,False
BW.ROTZ,BW,ROTZ,HH,200.0,49.766899,12.207,430.0,55.396497125387825,eida,0,0,0,False
TH.GEIDO,TH,GEIDO,HH,100.0,50.7353,12.1999,346.0,57.84465668623551,eida,0,0,0,False
Z3.A071A,Z3,A071A,HH,100.0,49.7419,12.6911,502.0,58.00340413712645,eida,0,0,0,False
TH.ZEU,TH,ZEU,HH,100.0,50.67064,11.97713,331.0,58.42390589054731,eida,0,0,0,False
Z3.A073A,Z3,A073A,HH,100.0,49.9916,13.2331,407.0,62.29184076334601,eida,0,0,0,False
Z3.A350A,Z3,A350A,HH,100.0,50.1674,11.5708,489.0,63.08933767506524,eida,0,0,0,False
TH.MLFH,TH,MLFH,HH,100.0,50.78982,12.08091,220.0,66.47096256526976,eida,0,0,0,False
TH.HKWD,TH,HKWD,HH,100.0,50.8297,12.26811,313.0,66.81689355215329,eida,0,0,0,False
Z3.A352A,Z3,A352A,HH,100.0,49.8214,11.6903,452.0,71.48884476197262,eida,0,0,0,False
TH.ANNA,TH,ANNA,HH,100.0,50.88902,12.64499,235.0,73.46682789954724,eida,0,0,0,False
GR.MOX,GR,MOX,HH,100.0,50.6461,11.6161,455.0,74.33430711116812,eida,0,0,0,False
TH.MODW,TH,MODW,HH,100.0,50.94269,12.46844,242.0,78.1429421785922,eida,0,0,0,False
TH.HWTS,TH,HWTS,HH,100.0,50.59227,11.47223,552.0,79.58152987592972,eida,0,0,0,False
CZ.HSKC,CZ,HSKC,HH,100.0,50.60745,13.43198,590.0,80.67309840785195,eida,0,0,0,False
TH.ABG1,TH,ABG1,HH,100.0,50.96757,12.57625,240.0,81.38759954080749,eida,0,0,0,False
TH.ZEITZ,TH,ZEITZ,HH,100.0,51.0507,12.12605,158.0,92.9902839908871,eida,0,0,0,False
TH.WESF,TH,WESF,HH,100.0,50.53747,11.2123,739.0,93.76872129671004,eida,0,0,0,False
TH.LEIB1,TH,LEIB1,HH,100.0,50.57607,11.1978,451.0,96.2803436569675,eida,0,0,0,False
GR.GRA3,GR,GRA3,HH,100.0,49.761076,11.31735,455.0,96.8943946219265,eida,0,0,0,False
TH.TAUT,TH,TAUT,HH,100.0,50.98161,11.71074,331.0,97.57157527731624,eida,0,0,0,False
Z3.A355A,Z3,A355A,HH,100.0,49.349,12.3832,385.0,99.18623327792147,eida,0,0,0,False
Z3.A074A,Z3,A074A,HH,100.0,49.6715,13.5309,385.0,99.87212372979998,eida,0,0,0,False
Z3.A072A,Z3,A072A,HH,100.0,49.4683,13.1735,495.0,100.26186221126684,eida,0,0,0,False
GR.GRA2,GR,GRA2,HH,100.0,49.654107,11.358088,512.0,101.72168323689336,eida,0,0,0,False
Z3.A075A,Z3,A075A,HH,100.0,50.0377,13.8737,285.0,103.92163631324112,eida,0,0,0,False
GR.GRA4,GR,GRA4,HH,100.0,49.5643,11.43454,503.0,104.5613430972366,eida,0,0,0,False
GR.GRB4,GR,GRB4,HH,100.0,49.467841,11.55948,507.0,106.98828937800332,eida,0,0,0,False
GR.GRA1,GR,GRA1,HH,100.0,49.690776,11.220436,499.5,107.06379056926694,eida,0,0,0,False
GR.GRB3,GR,GRB3,HH,100.0,49.3426,11.80465,517.0,110.0095827396489,eida,0,0,0,False
GR.GRB1,GR,GRB1,HH,100.0,49.39027,11.65059,494.0,110.52574539997902,eida,0,0,0,False
