t0,t1,rule
2018-05-10T18:45:00.000000Z,2018-05-10T21:45:00.000000Z,"busiest 3 h window in 2018-05-10T00:00:00Z..2018-06-01T00:00:00Z, 68 catalogue events"
2018-05-12T07:30:00.000000Z,2018-05-12T10:30:00.000000Z,"busiest 3 h window in 2018-05-10T00:00:00Z..2018-06-01T00:00:00Z, 94 catalogue events"
