t0,t1,rule
2025-02-02T23:45:00.000000Z,2025-02-03T02:45:00.000000Z,"busiest 3 h window in 2025-01-28T00:00:00Z..2025-02-12T00:00:00Z, 99 catalogue events"
2025-02-03T08:00:00.000000Z,2025-02-03T11:00:00.000000Z,"busiest 3 h window in 2025-01-28T00:00:00Z..2025-02-12T00:00:00Z, 102 catalogue events"
