station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
II.BORG,II,BORG,BH,40.0,64.7474,-21.3268,110.0,104.60473266180963,IRIS,23,8,31,True
4Q.MA2,4Q,MA2,HH,200.0,63.98606,-21.42218,299.0,42.49998188501873,eida,1,0,1,True
8F.VIGR,8F,VIGR,BH,50.0,63.89593,-22.12951,148.0,6.887705980653559,IRIS,0,0,0,False
9H.HOP,9H,HOP,HH,200.0,63.84507,-22.39246,90.0,8.559097929756206,eida,0,0,0,False
8F.ODDA,8F,ODDA,HH,100.0,63.94687,-22.119,140.0,9.034813901392694,IRIS,0,0,0,False
5S.RF91C,5S,RF91C,EH,100.0,63.8548,-22.4301,25.0,9.310800097812804,eida,0,0,0,False
5S.R0DF7,5S,R0DF7,EH,100.0,63.8782,-22.0773,215.0,9.736481961885636,eida,0,0,0,False
5S.RD639,5S,RD639,EH,100.0,63.9697,-22.3928,11.0,9.800810362920751,eida,0,0,0,False
9H.SUH,9H,SUH,HH,200.0,63.85213,-22.50214,96.0,12.54986547780097,eida,0,0,0,False
9H.STF,9H,STF,HH,200.0,63.91346,-22.54709,80.0,13.63349967711921,eida,0,0,0,False
9H.BER,9H,BER,HH,200.0,63.81847,-22.56296,85.0,16.97481500430533,eida,0,0,0,False
9H.SDV,9H,SDV,HH,200.0,63.82176,-22.63346,82.0,19.81578771930607,eida,0,0,0,False
9H.SYRN,9H,SYRN,HH,200.0,63.84544,-22.66643,110.0,20.336813484818833,eida,0,0,0,False
9H.HAS,9H,HAS,HH,200.0,63.88297,-22.71521,88.0,21.86696659081249,eida,0,0,0,False
5S.RB86E,5S,RB86E,EH,100.0,64.0229,-21.852,55.0,24.555974193305385,eida,0,0,0,False
VI.KAS,VI,KAS,HH,100.0,64.0229,-21.852,109.07,24.555974193305385,eida,0,0,0,True
VI.VOS,VI,VOS,HH,100.0,63.85279,-21.70357,6.75,28.223611290892222,eida,0,0,0,True
5S.RE32C,5S,RE32C,EH,100.0,64.0971,-21.8606,0.0,29.640089219585217,eida,0,0,0,False
5S.R488C,5S,R488C,EH,100.0,64.127704,-21.90419,50.0,30.961692995501693,eida,0,0,0,False
5S.R888C,5S,R888C,EH,100.0,64.135978,-21.876477,50.0,32.49451311703977,eida,0,0,0,False
5S.R8AC0,5S,R8AC0,EH,100.0,63.9481,-21.5307,333.0,36.52667724579027,eida,0,0,0,False
5S.RFE09,5S,RFE09,EH,100.0,64.05601,-21.57013,60.0,38.294192141076614,eida,0,0,0,False
