t0,t1,rule
2021-02-24T09:45:00.000000Z,2021-02-24T12:45:00.000000Z,"busiest 3 h window in 2021-02-24T00:00:00Z..2021-03-05T00:00:00Z, 24 catalogue events"
2021-02-26T15:30:00.000000Z,2021-02-26T18:30:00.000000Z,"busiest 3 h window in 2021-02-24T00:00:00Z..2021-03-05T00:00:00Z, 6 catalogue events"
