code,station,ambiguous
BORG,II.BORG,
MA2,4Q.MA2,
AAA,,
AAK,,
AAL,,
AB31,,
ABNA,,
ABTA,,
ABTO,,
ADZR,,
AGG,,
AK20,,
AKASG,,
AKBB,,
AKTO,,
ALNE,,
ANMO,,
ANN,,
ANTO,,
APA,,
AQDB,,
ARAG,,
ARBE,,
ARCES,,
ARQ,,
ARR,,
ARTI,,
ASAR,,
ASF,,
ASHO,,
ASSE,,
ASUD,,
BCAR,,
BCLA,,
BDFB,,
BDQN,,
BDRM,,
BEL,,
BELG,,
BFO,,
BIDO,,
BIGH,,
BILL,,
BIOA,,
BISRR,,
BIZ,,
BJI2,,
BJT,,
BLKB,,
BLSH,,
BMAR,,
BMOL,,
BMRD,,
BNI,,
BNX,,
BOD,,
BOPT,,
BORK,,
BOST,,
BOVS,,
BR131,,
BRG,,
BRTR,,
BSCB,,
BSEG,,
BSFB,,
BSKQ,,
BSY,,
BTLS,,
BTO2,,
BUG,,
BURAR,,
BVAR,,
BZS,,
CADS,,
CANS,,
CART,,
CCM,,
CD2,,
CFR,,
CHM,,
CHTO,,
CHVC,,
CIT,,
CKRC,,
CLDB,,
CLGH,,
CLL,,
CLZ,,
CMAR,,
CMC01,,
CN2,,
COLA,,
CONA,,
COVR,,
CPUP,,
CRNS,,
CTI,,
CZSB,,
DANN,,
DAVA,,
DAVOX,,
DBIC,,
DGZ,,
DL2,,
DMBR,,
DMN,,
DMTO,,
DOK,,
DOPR,,
DOU,,
DPC,,
DQM,,
DRUM,,
DSB,,
DZA,,
EAB,,
EADA,,
ECAB,,
ECAL,,
ECH,,
ECHE,,
EDI,,
EIBI,,
EKA,,
EMAL,,
EMIN,,
ERBR,,
ESBB,,
ESDC,,
ESK,,
ESPR,,
ETOB,,
ETOS,,
EVO,,
EZN,,
FETA,,
FFC,,
FIA1,,
FINES,,
FLTG,,
FOEL,,
FRB,,
FUR,,
GAL1,,
GDLE,,
GEC2,,
GERES,,
GKN,,
GNI,,
GOMU,,
GORT1,,
GRER,,
GRF,,
GRFO,,
GROS,,
GTA2,,
GTTG,,
GUA01,,
GYA,,
GZR,,
HAL,,
HARR,,
HATD,,
HEH,,
HERR,,
HFS,,
HHC,,
HILR,,
HKT,,
HLM1,,
HNS,,
HOQ,,
HSKC,,
HYB,,
IASB,,
IASM,,
IAUS,,
IBBN,,
IBEY,,
IBJA,,
IBJK,,
IDGL,,
IDYN,,
IEDA,,
IELE,,
IESK,,
IFAL,,
IFED,,
IFR,,
IGLA,,
IGOD,,
IGRF,,
IGRV,,
IGYG,,
IHAU,,
IHEI,,
IHES,,
IHLA,,
IHRN,,
IHUS,,
IHVO,,
IIEY,,
IJOK,,
IKAL,,
IKIS,,
IKRI,,
IKRO,,
IKVI,,
ILAR,,
ILTH,,
ILULI,,
IMAR,,
IMID,,
IMJO,,
IMOR,,
INK,,
INVG,,
INYL,,
IPMB,,
IRJU,,
IRK,,
IRNE,,
ISAL,,
ISAN,,
ISAU,,
ISIG,,
ISKR,,
ISLY,,
ISOL,,
ISR,,
ISTE,,
ITRB,,
ITTB,,
IVAT,,
IVES,,
IVEY,,
IVOG,,
IVON,,
IVOS,,
IVOT,,
IWEX,,
JAVC,,
JIRN,,
JLN,,
JMDO,,
JOF,,
JSA,,
KASTN,,
KBA,,
KBD,,
KBL,,
KBS,,
KBZ,,
KDZ,,
KECS,,
KEF,,
KEST,,
KEV,,
KHC,,
KIBK,,
KIEV,,
KIRS,,
KIRV,,
KIV,,
KKAR,,
KKB,,
KKN,,
KKUL,,
KLMR,,
KLR,,
KMI2,,
KMPD,,
KNGR,,
KOLN,,
KOLS,,
KONO,,
KPKS,,
KPL,,
KRLC,,
KRUC,,
KSAR,,
KSH2,,
KSP,,
KSRS,,
KURBB,,
KURK,,
KUU,,
KWP,,
LABN,,
LANS,,
LANU,,
LESA,,
LINV,,
LJU,,
LODK,,
LOZB,,
LPAZ,,
LPSR,,
LSA,,
LVZ,,
LYN,,
LZDM,,
LZH,,
MACA,,
MAHO,,
MAJO,,
MAK,,
MAKZ,,
MARR,,
MASF,,
MATE,,
MAUC,,
MAW,,
MBAR,,
MCD,,
MD01,,
MDH,,
MDJ,,
MDOK,,
MDT,,
MDVR,,
MEM,,
MESJ,,
MHTO,,
MI28,,
MJAR,,
MK31,,
MKAR,,
MLR,,
MMAI,,
MMB,,
MNK,,
MNTR,,
MOA,,
MODS,,
MOE,,
MORC,,
MORF,,
MORH,,
MOS,,
MOTA,,
MOX,,
MOY,,
MPEP,,
MTE,,
MTSE,,
MTUR,,
MVO,,
MYKA,,
MZR,,
NACGM,,
NB2,,
NB201,,
NBO00,,
NBPN,,
NBPS,,
NC204,,
NC303,,
NC405,,
NC602,,
NEHR,,
NEUB,,
NEUR,,
NEWG,,
NGCH,,
NIE,,
NIL,,
NJ2,,
NKC,,
NOA,,
NPGB,,
NRIK,,
NVAR,,
NVL,,
OBKA,,
OBN,,
ODAN,,
OJC,,
OKC,,
OSTC,,
PAB,,
PABE,,
PARRA,,
PBAR,,
PBDV,,
PBEJ,,
PBUR,,
PCAB,,
PCAS,,
PCBR,,
PCMB,,
PCVE,,
PDAR,,
PDRB,,
PEA0B,,
PESTR,,
PETK,,
PFO,,
PFVI,,
PGAV,,
PKI,,
PKIN,,
PLOR,,
PLOUS,,
PMAFR,,
PMAR,,
PMNB,,
PMRV,,
PMTG,,
POLO,,
PPT2,,
PRPB,,
PRU,,
PSARD,,
PSBE,,
PSZ,,
PTGB,,
PTLB,,
PTO,,
PUL,,
