key,window,t0,t1,station,network,code,band,rate,km,fetched,file,measured,n_locations,n_channels,rates_hz,covered_any_s,covered_3c_s,coverage_fraction_3c,gap_count,gap_s,covered,ref_P_window,ref_S_window,ref_P_covered,ref_S_covered,ref_P_covered_rm,ref_S_covered_rm,manual_ok_P,manual_ok_S,unknown_ok_P,unknown_ok_S,automatic_rejected_P,automatic_rejected_S,unknown_rejected_P,unknown_rejected_S,other_P,other_S
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,HT.CHOS,HT,CHOS,HH,100.0,84.33027336218439,True,HT.CHOS__HH__20201030T120127__20201030T150127.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,15,14,15,14,15,14,15,14,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,HL.PRK,HL,PRK,HH,100.0,156.4277524636698,True,HL.PRK__HH__20201030T120127__20201030T150127.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,12,4,12,4,12,4,12,4,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.DKL,KO,DKL,BH,50.0,130.6228591245191,True,KO.DKL__BH__20201030T120127__20201030T150127.mseed,True,1.0,3.0,50,10800.0,10800.0,1.0,0.0,0.0,True,7,6,7,6,7,6,7,6,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,HL.SMG,HL,SMG,HH,100.0,22.165534514909258,False,HL.SMG__HH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.BLCB,KO,BLCB,BH,50.0,58.28683265281141,True,KO.BLCB__BH__20201030T120127__20201030T150127.mseed,True,1.0,3.0,50,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.AYDB,KO,AYDB,HH,100.0,96.69058704554897,True,KO.AYDB__HH__20201030T120127__20201030T150127.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.BODT,KO,BODT,BH,50.0,103.8525925217718,True,KO.BODT__BH__20201030T120127__20201030T150127.mseed,True,1.0,3.0,50,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,6G.CAME,6G,CAME,HH,100.0,104.70765964662004,False,6G.CAME__HH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.MLSB,KO,MLSB,BH,50.0,109.89351568137202,False,KO.MLSB__BH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.ODEM,KO,ODEM,EH,100.0,119.956638807567,False,KO.ODEM__EH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,6G.ZEDA,6G,ZEDA,HH,100.0,121.24436496992269,False,6G.ZEDA__HH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.NAZL,KO,NAZL,EH,100.0,131.93420664931833,False,KO.NAZL__EH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,6G.AKHS,6G,AKHS,HH,100.0,140.75906983179914,False,6G.AKHS__HH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,HL.APE,HL,APE,HH,100.0,144.7620517210042,False,HL.APE__HH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,HL.NISR,HL,NISR,HH,100.0,146.50809279977102,False,HL.NISR__HH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.DAT,KO,DAT,BH,50.0,147.44536519992462,False,KO.DAT__BH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,HT.NIS1,HT,NIS1,HH,100.0,148.32113995935802,False,HT.NIS1__HH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samos_2020,0,2020-10-30T12:01:27+00:00,2020-10-30T15:01:27+00:00,KO.SOMA,KO,SOMA,EH,100.0,153.96312491262603,False,KO.SOMA__EH__20201030T120127__20201030T150127.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
