station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
HT.CHOS,HT,CHOS,HH,100.0,38.3869,26.0506,854.0,84.33027336218439,NOA,15,14,29,True
HL.PRK,HL,PRK,HH,100.0,39.24565,26.26499,130.0,156.4277524636698,NOA,12,4,16,True
KO.DKL,KO,DKL,BH,50.0,39.0713,26.9053,35.0,130.6228591245191,KOERI,7,6,13,True
HL.SMG,HL,SMG,HH,100.0,37.70425,26.83772,348.0,22.165534514909258,NOA,0,0,0,False
KO.BLCB,KO,BLCB,BH,50.0,38.3853,27.042,150.0,58.28683265281141,KOERI,0,0,0,True
KO.AYDB,KO,AYDB,HH,100.0,37.9467,27.8908,1246.0,96.69058704554897,KOERI,0,0,0,True
KO.BODT,KO,BODT,BH,50.0,37.0622,27.3103,379.0,103.8525925217718,KOERI,0,0,0,True
6G.CAME,6G,CAME,HH,100.0,38.748,27.312,279.0,104.70765964662004,KOERI,0,0,0,False
KO.MLSB,KO,MLSB,BH,50.0,37.2953,27.7767,500.0,109.89351568137202,KOERI,0,0,0,False
KO.ODEM,KO,ODEM,EH,100.0,38.2762,28.0747,797.0,119.956638807567,KOERI,0,0,0,False
6G.ZEDA,6G,ZEDA,HH,100.0,38.967,27.077,179.0,121.24436496992269,KOERI,0,0,0,False
KO.NAZL,KO,NAZL,EH,100.0,37.9641,28.2922,510.0,131.93420664931833,KOERI,0,0,0,False
6G.AKHS,6G,AKHS,HH,100.0,38.879,27.814,370.0,140.75906983179914,KOERI,0,0,0,False
HL.APE,HL,APE,HH,100.0,37.07274,25.52301,608.0,144.7620517210042,NOA,0,0,0,False
HL.NISR,HL,NISR,HH,100.0,36.6106,27.1309,48.0,146.50809279977102,NOA,0,0,0,False
KO.DAT,KO,DAT,BH,50.0,36.7308,27.5767,1100.0,147.44536519992462,KOERI,0,0,0,False
HT.NIS1,HT,NIS1,HH,100.0,36.60233,27.17817,378.0,148.32113995935802,NOA,0,0,0,False
KO.SOMA,KO,SOMA,EH,100.0,39.1564,27.5341,243.0,153.96312491262603,KOERI,0,0,0,False
6G.AYVA,6G,AYVA,HH,100.0,39.308,26.69,100.0,156.79643711577972,KOERI,0,0,0,False
KO.YER,KO,YER,BH,50.0,37.1336,28.284,729.0,156.91245239170732,KOERI,0,0,0,False
HC.THNO,HC,THNO,HH,100.0,37.6541,25.0221,273.0,157.75601704307448,NOA,0,0,0,False
KO.GORD,KO,GORD,EH,100.0,38.9088,28.1769,744.0,164.87586068342205,KOERI,0,0,0,False
IU.ANTO,IU,ANTO,BH,,39.8681,32.79356,1080.0,563.6657038205881,IRIS,0,0,0,False
