station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
IV.CSTH,IV,CSTH,HH,100.0,40.829447,14.149329,108.0,0.7872776682922143,INGV,5,5,10,True
IV.CAAM,IV,CAAM,HH,100.0,40.820065,14.142049,170.0,1.1180444404572754,INGV,5,5,10,True
IV.CPOZ,IV,CPOZ,HH,100.0,40.821072,14.11911,52.0,2.0186040001916767,INGV,5,5,10,True
IV.CSFT,IV,CSFT,HH,100.0,40.829168,14.139635,150.9,0.0974737100289551,INGV,5,4,9,True
IV.CSOB,IV,CSOB,HH,100.0,40.826469,14.143963,222.7,0.5150885903544153,INGV,5,4,9,True
IV.CFMN,IV,CFMN,HH,100.0,40.832942,14.090403,91.9,4.185416479894327,INGV,5,3,8,True
IV.CNIS,IV,CNIS,HH,100.0,40.79817,14.163176,50.0,4.040979163283898,INGV,4,3,7,False
IV.CBAC,IV,CBAC,HH,100.0,40.810901,14.08057,77.0,5.432930536835382,INGV,5,1,6,False
IV.CMIS,IV,CMIS,HH,100.0,40.778122,14.088917,133.6,7.194327967471818,INGV,4,1,5,False
IV.COLB,IV,COLB,HH,100.0,40.819016,14.144606,55.9,1.281324193824811,INGV,2,2,4,False
IV.CMSN,IV,CMSN,HH,100.0,40.838661,14.183622,154.4,3.7940293661731745,INGV,2,1,3,False
IV.CCAP,IV,CCAP,EH,100.0,40.8064,14.192267,207.2,5.121453772403776,INGV,1,0,1,False
IV.PAOL,IV,PAOL,HH,100.0,41.031206,14.567486,715.0,42.30938484154992,INGV,1,0,1,False
IV.CBAG,IV,CBAG,HH,100.0,40.811524,14.174719,51.9,3.5713975092966472,INGV,0,0,0,False
IV.CMTS,IV,CMTS,EH,100.0,40.831427,14.197239,84.9,4.818205905493086,INGV,0,0,0,False
IV.CQUE,IV,CQUE,HH,100.0,40.885339,14.155411,108.3,6.28815097536668,INGV,0,0,0,False
IV.PTMR,IV,PTMR,HH,100.0,40.761401,14.034938,134.0,11.678594822495294,INGV,0,0,0,False
IV.IPSM,IV,IPSM,HH,100.0,40.746222,13.943825,154.0,18.961048530563488,INGV,0,0,0,False
IV.VPOB,IV,VPOB,HH,100.0,40.852793,14.383211,221.0,20.61473734218122,INGV,0,0,0,False
IV.OVO,IV,OVO,HH,100.0,40.8275,14.39667,584.0,21.596407152687423,INGV,0,0,0,False
IV.IBRN,IV,IBRN,HH,100.0,40.713953,13.926856,188.0,22.104820821567785,INGV,0,0,0,False
IV.IOCA,IV,IOCA,HH,100.0,40.746797,13.90142,166.0,22.113078430755255,INGV,0,0,0,False
IV.ICVJ,IV,ICVJ,EH,100.0,40.74351,13.89522,81.0,22.740801433660483,INGV,0,0,0,False
IV.IBCM,IV,IBCM,EH,100.0,40.71089,13.91612,314.0,23.039375875770645,INGV,0,0,0,False
IV.VBKW,IV,VBKW,HH,100.0,40.824231,14.414156,877.7,23.07526624100541,INGV,0,0,0,False
IV.CRTO,IV,CRTO,HH,100.0,40.821151,14.422303,1206.0,23.77272482731172,INGV,0,0,0,False
IV.IVLC,IV,IVLC,HH,100.0,40.75909,13.872129,92.0,23.88734347268652,INGV,0,0,0,False
IV.VVDG,IV,VVDG,HH,100.0,40.835644,14.423881,855.0,23.890757500168036,INGV,0,0,0,False
IV.VBKS,IV,VBKS,HH,100.0,40.806289,14.422496,617.0,23.91700948780196,INGV,0,0,0,False
IV.VTIR,IV,VTIR,HH,100.0,40.8059,14.4242,612.0,24.0643753068226,INGV,0,0,0,False
IV.VBKN,IV,VBKN,HH,100.0,40.829959,14.429881,1004.18,24.388331011843384,INGV,0,0,0,False
IV.VCRE,IV,VCRE,HH,100.0,40.818999,14.431419,1175.0,24.550243420573192,INGV,0,0,0,False
IV.VCNE,IV,VCNE,HH,100.0,40.826595,14.433985,1007.0,24.737133682420463,INGV,0,0,0,False
IV.VBKE,IV,VBKE,HH,100.0,40.818549,14.438636,913.2,25.15930686346418,INGV,0,0,0,False
IV.IMTC,IV,IMTC,HH,100.0,40.720887,13.875813,256.0,25.338263850290502,INGV,0,0,0,False
IV.IFOR,IV,IFOR,HH,100.0,40.711512,13.855177,278.0,27.364437604755828,INGV,0,0,0,False
IV.VTRZ,IV,VTRZ,HH,100.0,40.807581,14.475264,225.0,28.321174465855936,INGV,0,0,0,False
IV.SORR,IV,SORR,HH,100.0,40.58256,14.335709,537.0,32.07923841383149,INGV,0,0,0,False
IV.PIGN,IV,PIGN,HH,100.0,41.200001,14.17989,398.0,41.276305501171414,INGV,0,0,0,False
IV.MODR,IV,MODR,HH,100.0,41.1459,13.8779,345.0,41.44499149628845,INGV,0,0,0,False
IV.VITU,IV,VITU,HH,100.0,41.18326,14.630154,848.0,56.87094351120158,INGV,0,0,0,False
IV.VENT,IV,VENT,EH,100.0,40.79478,13.42156,108.0,60.5865296299536,INGV,0,0,0,False
IX.BENI,IX,BENI,EH,125.0,41.1298,14.7716,75.0,62.626189908059466,INGV,0,0,0,False
IV.SGG,IV,SGG,HH,100.0,41.38667,14.37917,880.0,65.05851753134061,INGV,0,0,0,False
IV.VAGA,IV,VAGA,HH,100.0,41.4154,14.2342,795.0,65.56708444326465,INGV,0,0,0,False
IV.PTRJ,IV,PTRJ,HH,100.0,41.3641,14.529,1027.0,67.74356502148542,INGV,0,0,0,False
IV.PSB1,IV,PSB1,HH,100.0,41.22345,14.81078,551.0,71.2721471275802,INGV,0,0,0,False
