t0,t1,rule
2023-09-26T01:00:00.000000Z,2023-09-26T04:00:00.000000Z,"busiest 3 h window in 2023-09-26T00:00:00Z..2023-10-05T00:00:00Z, 6 catalogue events"
2023-09-27T19:30:00.000000Z,2023-09-27T22:30:00.000000Z,"busiest 3 h window in 2023-09-26T00:00:00Z..2023-10-05T00:00:00Z, 8 catalogue events"
