source,n_rows,n_read_errors,n_with_p,n_with_s,n_with_distance,n_flagged_multiplet,rates_hz,n_samples_median,n_samples_min,n_samples_max,duration_s_median,c1_n_fit,c1_slope_s_per_km,c1_intercept_s,c1_implied_vp_vs,c1_residual_mad_s,c1_threshold_s,c1_n_flag,c1_n_ts_le_tp,c1_flag_frac,c1_flag_lo,c1_flag_hi,c2_n_testable,c2_testable_frac,c2_testable_lo,c2_testable_hi,c2_residual_median_s,c2_residual_mad_s,c2_residual_p05_s,c2_residual_p95_s,c2_n_flag,c2_flag_frac,c2_flag_lo,c2_flag_hi,c2_flag_1s_frac,c2_flag_1s_lo,c2_flag_1s_hi,c2_early_frac,c2_early_lo,c2_early_hi,c2s_n_testable,c2s_testable_frac,c2s_testable_lo,c2s_testable_hi,c2s_residual_median_s,c2s_residual_mad_s,c2s_residual_p05_s,c2s_residual_p95_s,c2s_n_flag,c2s_flag_frac,c2s_flag_lo,c2s_flag_hi,c2s_flag_1s_frac,c2s_flag_1s_lo,c2s_flag_1s_hi,c2s_early_frac,c2s_early_lo,c2s_early_hi,c3_n,c3_p_gt_s_frac,c3_p_gt_s_lo,c3_p_gt_s_hi,c3_warning,c4_edge_frac,c4_edge_lo,c4_edge_hi,c4_n_edge,c4_mode_p_sample,c4_mode_share,c4_p_fraction_median,c6_n_testable,c6_n_triggers_median,c6_p_in_blind_frac,c6_unlabelled_frac,c6_unlabelled_lo,c6_unlabelled_hi,c6_n_unlabelled,c6_unlabelled_before_p_frac,c6_unlabelled_before_p_lo,c6_unlabelled_before_p_hi,c6_unlabelled_flagged_frac,c6_unlabelled_flagged_lo,c6_unlabelled_flagged_hi,c6_n_flagged,c6_unlabelled_unflagged_frac,c6_unlabelled_unflagged_lo,c6_unlabelled_unflagged_hi,c6_n_unflagged,c6_flagged_n,c6_second_event_frac,c6_second_event_lo,c6_second_event_hi,c6_wrong_first_pick_frac,c6_wrong_first_pick_lo,c6_wrong_first_pick_hi,c6_no_detection_frac,c6_no_detection_lo,c6_no_detection_hi,c6_single_detection_frac,c6_single_detection_lo,c6_single_detection_hi,suggested_unknown_frac,n_suggested_unknown,n_extra_arrival_rows
kaikoura_2016,357,0,357,295,357,0,[100.0],12001.0,3830,12001,120.01,295,0.1124467924157243,1.2795798629285828,1.6746807544943458,0.4728076869159983,1.8912307476639931,25,0,0.0847457627118644,0.05423728813559322,0.11864406779661017,316,0.8851540616246498,0.8515406162464986,0.9187675070028011,0.14592599999999933,0.16203849999999775,-0.3674925,1.0206484999999983,54,0.17088607594936708,0.12974683544303797,0.2120253164556962,0.07911392405063292,0.05063291139240506,0.11075949367088607,0.03164556962025317,0.012658227848101266,0.05379746835443038,265,0.8983050847457628,0.8610169491525423,0.9322033898305084,0.14155699999999882,0.17300800000000294,-0.27701839999999717,0.8087071999999991,48,0.1811320754716981,0.13584905660377358,0.22650943396226408,0.03773584905660377,0.01509433962264151,0.06415094339622641,0.011320754716981131,0.0,0.026415094339622643,239,0.8870292887029289,0.8451882845188284,0.9246861924686193,False,0.0,0.0,0.0,0,3000.0,1.0,0.24997657695192066,357,5.0,0.0,0.9803921568627451,0.9635854341736695,0.9943977591036415,350,0.5854341736694678,0.5350140056022409,0.6358543417366946,,,,0,0.9803921568627451,0.9635854341736695,0.9943977591036415,357,0,,,,,,,,,,,,,0.21008403361344538,75,350
norcia_2016,701,0,701,656,701,0,[100.0],12001.0,7868,12001,120.01,656,0.12737958197076737,0.584636039391778,1.7642774918246042,0.18249622819219358,1.0,12,0,0.018292682926829267,0.009146341463414634,0.028963414634146343,502,0.7161198288159771,0.684700427960057,0.7475035663338089,0.02499999999999858,0.04520000000000124,-1.6153000000000015,0.2394399999999978,76,0.15139442231075698,0.11952191235059761,0.1852589641434263,0.09362549800796813,0.06772908366533864,0.12151394422310757,0.13147410358565736,0.10159362549800798,0.16334661354581673,633,0.9649390243902439,0.9496951219512195,0.9786585365853658,0.04019999999999868,0.05000000000000426,-0.26379999999999765,0.2782000000000006,23,0.036334913112164295,0.022116903633491312,0.052132701421800945,0.017377567140600316,0.007898894154818325,0.02843601895734597,0.023696682464454975,0.01263823064770932,0.036334913112164295,463,0.8466522678185745,0.816414686825054,0.8790496760259179,False,0.0,0.0,0.0,0,3000.0,1.0,0.24997750187484374,701,5.0,0.0,0.9971469329529244,0.992867332382311,1.0,699,0.6562054208273894,0.6219686162624821,0.6904422253922967,,,,0,0.9971469329529244,0.992867332382311,1.0,701,0,,,,,,,,,,,,,0.11697574893009986,82,699
thessaly_2021,395,0,395,331,395,0,[100.0],12001.0,10262,12001,120.01,331,0.11867327509141468,0.5969778785718214,1.712039650548488,0.33134491397268184,1.3253796558907274,5,0,0.015105740181268883,0.0030211480362537764,0.030211480362537766,346,0.8759493670886076,0.8429746835443039,0.9088607594936708,0.059221499999999594,0.133521,-0.927543749999999,1.068632000000001,73,0.21098265895953758,0.17044797687861277,0.2543352601156069,0.1069364161849711,0.07514450867052024,0.13872832369942195,0.07803468208092486,0.049132947976878616,0.1069364161849711,285,0.8610271903323263,0.8217522658610272,0.8972809667673716,0.6012859999999947,0.6204629999999938,-0.13534680000000135,2.8592348000000034,148,0.519298245614035,0.4631578947368421,0.5789473684210527,0.39649122807017545,0.34385964912280703,0.45263157894736844,0.0035087719298245615,0.0,0.010526315789473684,266,0.9586466165413534,0.9323308270676691,0.981203007518797,False,0.0,0.0,0.0,0,3000.0,0.9848101265822785,0.24997550204149652,395,4.0,0.0,0.9493670886075949,0.9265822784810127,0.9696202531645569,375,0.4810126582278481,0.43291139240506327,0.5316455696202531,,,,0,0.9493670886075949,0.9265822784810127,0.9696202531645569,395,0,,,,,,,,,,,,,0.1949367088607595,77,375
samos_2020,34,0,34,24,34,0,"[50.0, 100.0]",12001.0,6001,12001,120.01,24,0.10933707343662838,1.3084086663634587,1.6560224406197703,0.5931796658935671,2.3727186635742683,0,0,0.0,0.0,0.0,22,0.6470588235294118,0.47058823529411764,0.7941176470588235,0.3154395000000001,0.46181299999999936,-0.4448883999999991,1.7236056500000017,10,0.45454545454545453,0.2727272727272727,0.6363636363636364,0.22727272727272727,0.09090909090909091,0.4090909090909091,0.045454545454545456,0.0,0.13636363636363635,20,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.7800734999999968,0.6838934999999999,-0.17564735000000126,2.8974588499999996,13,0.65,0.45,0.85,0.45,0.25,0.65,0.0,0.0,0.0,16,0.8125,0.625,1.0,False,0.0,0.0,0.0,0,3000.0,0.7941176470588235,0.24997727689359217,34,3.0,0.0,0.9117647058823529,0.8235294117647058,1.0,31,0.5882352941176471,0.4117647058823529,0.7647058823529411,,,,0,0.9117647058823529,0.8235294117647058,1.0,34,0,,,,,,,,,,,,,0.29411764705882354,10,31
adriatic_2022,400,0,400,357,400,0,[100.0],12001.0,3098,12001,120.01,357,0.11719186700524489,1.1445122586145136,1.7031512020314694,0.2503821099648098,1.0015284398592392,7,0,0.0196078431372549,0.008403361344537815,0.036414565826330535,274,0.685,0.64,0.7300625,0.03999999999999915,0.06020000000000181,-0.3498000000000019,0.424199999999998,24,0.08759124087591241,0.058394160583941604,0.12043795620437957,0.029197080291970802,0.010948905109489052,0.051094890510948905,0.040145985401459854,0.01824817518248175,0.06569343065693431,247,0.6918767507002801,0.6414565826330533,0.742296918767507,0.19019999999999726,0.14999999999999858,-0.09994000000000156,0.8911400000000025,49,0.19838056680161945,0.15384615384615385,0.25101214574898784,0.02834008097165992,0.008097165991902834,0.048582995951417005,0.008097165991902834,0.0,0.020242914979757085,187,0.9358288770053476,0.8983957219251337,0.9679144385026738,False,0.005,0.0,0.0125,2,3000.0,0.985,0.24997750187484374,400,2.0,0.015,0.7375,0.69,0.7775624999999999,295,0.1525,0.12,0.19,,,,0,0.7375,0.69,0.7775624999999999,400,0,,,,,,,,,,,,,0.0825,33,295
etna_2022_2024,597,0,597,395,597,0,[100.0],12001.0,4552,12001,120.01,395,0.05398578850168784,3.256357891975931,1.323914731010127,0.257217995266505,1.02887198106602,4,0,0.010126582278481013,0.002531645569620253,0.020253164556962026,527,0.8827470686767169,0.8576214405360134,0.9062395309882746,0.05000000000000071,0.03999999999999915,-0.17999999999999972,0.370000000000001,31,0.058823529411764705,0.03984819734345351,0.07969639468690702,0.022770398481973434,0.011385199240986717,0.036053130929791274,0.028462998102466792,0.015180265654648957,0.04364326375711575,264,0.6683544303797468,0.6227848101265823,0.7139873417721518,0.23999999999999488,0.14999999999999858,0.03150000000000084,0.8939999999999985,53,0.20075757575757575,0.1553030303030303,0.2500946969696969,0.03787878787878788,0.015151515151515152,0.06060606060606061,0.003787878787878788,0.0,0.011363636363636364,253,1.0,1.0,1.0,False,0.0,0.0,0.0,0,3000.0,0.9916247906197655,0.2499791684026331,597,2.0,0.0,0.592964824120603,0.5493718592964825,0.6332077051926297,354,0.1474036850921273,0.11725293132328309,0.17420435510887772,,,,0,0.592964824120603,0.5493718592964825,0.6332077051926297,597,0,,,,,,,,,,,,,0.05862646566164154,35,354
corinth_thiva_2020,108,0,108,87,108,0,[100.0],12001.0,12001,12001,120.01,87,0.11493569143649282,0.7192634793812998,1.6896141486189569,0.25798839402179397,1.0319535760871759,6,0,0.06896551724137931,0.022988505747126436,0.12643678160919541,73,0.6759259259259259,0.5833333333333334,0.7592592592592593,0.13451799999999992,0.10112499999999969,-1.6562126000000021,1.2342257999999995,18,0.2465753424657534,0.1506849315068493,0.34280821917808185,0.1643835616438356,0.0821917808219178,0.2465753424657534,0.0958904109589041,0.0273972602739726,0.1643835616438356,60,0.6896551724137931,0.5862068965517241,0.7818965517241377,0.2754960000000004,0.22950099999999907,0.009081050000003546,1.4896609499999987,25,0.4166666666666667,0.3,0.55,0.26666666666666666,0.15,0.38333333333333336,0.0,0.0,0.0,47,0.7659574468085106,0.6170212765957447,0.8723404255319149,False,0.0,0.0,0.0,0,3000.0,1.0,0.24997983918006833,108,2.0,0.0,0.7222222222222222,0.6388888888888888,0.7962962962962963,78,0.23148148148148148,0.14814814814814814,0.3148148148148148,,,,0,0.7222222222222222,0.6388888888888888,0.7962962962962963,108,0,,,,,,,,,,,,,0.2222222222222222,24,78
