t0,t1,rule
2021-09-13T02:00:00.000000Z,2021-09-13T05:00:00.000000Z,"busiest 3 h window in 2021-09-11T00:00:00Z..2021-09-20T00:00:00Z, 86 catalogue events"
2021-09-14T02:30:00.000000Z,2021-09-14T05:30:00.000000Z,"busiest 3 h window in 2021-09-11T00:00:00Z..2021-09-20T00:00:00Z, 77 catalogue events"
