station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
ES.EHIG,ES,EHIG,HH,100.0,28.5567,-17.8062,845.0,8.598085497418507,eida,165,165,330,True
ES.TBT,ES,TBT,HH,100.0,28.68091,-17.916539,180.0,9.098820413297137,eida,163,165,328,True
ES.CBRE,ES,CBRE,HH,100.0,28.627437,-17.791452,575.0,7.908072242726301,eida,161,163,324,True
ES.CENR,ES,CENR,HH,100.0,28.62581,-17.84609,1210.0,2.921767732716238,eida,156,165,321,True
ES.CJED,ES,CJED,HH,100.0,28.57924,-17.87033,871.0,3.420356134481089,eida,160,156,316,True
ES.CMIR,ES,CMIR,HH,100.0,28.697543,-17.86211,1295.0,9.764302268998936,eida,145,147,292,True
ES.CPUN,ES,CPUN,HH,100.0,28.734821,-17.755571,583.0,17.811205769943648,eida,140,149,289,False
ES.CTEN,ES,CTEN,HH,100.0,28.48222,-17.83701,460.0,14.568664856796358,eida,135,141,276,False
ES.CROM,ES,CROM,HH,100.0,28.755682,-17.895141,2225.0,16.38297374580883,eida,134,141,275,False
ES.CGOR,ES,CGOR,HH,100.0,28.7784,-17.9958,435.0,22.386473381652323,eida,94,101,195,False
ES.EGOM,ES,EGOM,HH,100.0,28.1594,-17.2096,770.0,81.75313357847067,eida,13,14,27,False
ES.CJUL,ES,CJUL,EH,100.0,27.7296,-18.0823,1282.0,100.0789886765033,eida,6,5,11,False
ES.CCUM,ES,CCUM,EH,100.0,27.7459,-18.0301,464.0,97.35220067993173,eida,3,3,6,False
ES.CTIG,ES,CTIG,HH,100.0,27.7882,-17.9221,530.0,91.51845382220672,eida,0,3,3,False
ES.CMCL,ES,CMCL,EH,100.0,27.713,-18.01986,1105.0,100.8134625428057,eida,1,1,2,False
ES.CCAL,ES,CCAL,HH,100.0,27.712828,-18.147203,111.0,103.39120735741449,eida,1,0,1,False
ES.CBOL,ES,CBOL,HH,100.0,28.31442,-16.830646,1161.0,106.78058612110496,eida,0,1,1,False
ES.CALD,ES,CALD,EH,100.0,28.598969,-17.828703,1560.0,4.213819143755497,eida,0,0,0,False
ES.CTAN,ES,CTAN,EH,100.0,27.75438,-18.0543,18.0,96.83589944396066,eida,0,0,0,False
ES.CTAB,ES,CTAB,EH,100.0,27.749386,-18.085761,140.0,98.00036384252311,eida,0,0,0,False
ES.CTAC,ES,CTAC,HH,100.0,27.674889,-18.020452,165.0,105.0161098312782,eida,0,0,0,False
ES.CNAO,ES,CNAO,HH,100.0,27.647,-17.9883,118.0,107.70247206003972,eida,0,0,0,False
