key,window,t0,t1,station,network,code,band,rate,km,fetched,file,measured,n_locations,n_channels,rates_hz,covered_any_s,covered_3c_s,coverage_fraction_3c,gap_count,gap_s,covered,ref_P_window,ref_S_window,ref_P_covered,ref_S_covered,ref_P_covered_rm,ref_S_covered_rm,manual_ok_P,manual_ok_S,unknown_ok_P,unknown_ok_S,automatic_rejected_P,automatic_rejected_S,unknown_rejected_P,unknown_rejected_S,other_P,other_S
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,II.BORG,II,BORG,BH,40.0,109.97357438244504,True,II.BORG__BH__20231110T164500__20231110T194500.mseed,True,2.0,6.0,40,10799.98046207428,10799.98046207428,0.9999981909328037,0.0,0.0,True,47,21,47,21,19,15,19,15,70,23,3,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,8F.VIGR,8F,VIGR,BH,50.0,12.595039743228009,False,8F.VIGR__BH__20231110T164500__20231110T194500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,8F.TKEL,8F,TKEL,BH,50.0,16.65675859377949,False,8F.TKEL__BH__20231110T164500__20231110T194500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,Y7.DC04,Y7,DC04,EH,200.0,19.338883939038418,True,Y7.DC04__EH__20231110T164500__20231110T194500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,Y7.DC01,Y7,DC01,EH,200.0,19.797577630225664,True,Y7.DC01__EH__20231110T164500__20231110T194500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,Y7.DC05,Y7,DC05,EH,200.0,19.922652927149237,True,Y7.DC05__EH__20231110T164500__20231110T194500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,Y7.DC03,Y7,DC03,EH,200.0,19.98784670723034,True,Y7.DC03__EH__20231110T164500__20231110T194500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,Y7.DC02,Y7,DC02,EH,200.0,20.227048279233685,True,Y7.DC02__EH__20231110T164500__20231110T194500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,0,2023-11-10T16:45:00+00:00,2023-11-10T19:45:00+00:00,VI.ASB,VI,ASB,HH,100.0,110.08243139921188,False,VI.ASB__HH__20231110T164500__20231110T194500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,II.BORG,II,BORG,BH,40.0,109.97357438244504,True,II.BORG__BH__20231110T194500__20231110T224500.mseed,True,2.0,6.0,40,10799.98046207428,10799.98046207428,0.9999981909328037,0.0,0.0,True,13,9,13,9,6,3,6,3,23,9,0,2,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,8F.VIGR,8F,VIGR,BH,50.0,12.595039743228009,False,8F.VIGR__BH__20231110T194500__20231110T224500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,8F.TKEL,8F,TKEL,BH,50.0,16.65675859377949,False,8F.TKEL__BH__20231110T194500__20231110T224500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,Y7.DC04,Y7,DC04,EH,200.0,19.338883939038418,True,Y7.DC04__EH__20231110T194500__20231110T224500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,Y7.DC01,Y7,DC01,EH,200.0,19.797577630225664,True,Y7.DC01__EH__20231110T194500__20231110T224500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,Y7.DC05,Y7,DC05,EH,200.0,19.922652927149237,True,Y7.DC05__EH__20231110T194500__20231110T224500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,Y7.DC03,Y7,DC03,EH,200.0,19.98784670723034,True,Y7.DC03__EH__20231110T194500__20231110T224500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,Y7.DC02,Y7,DC02,EH,200.0,20.227048279233685,True,Y7.DC02__EH__20231110T194500__20231110T224500.mseed,True,1.0,3.0,200,10800.0,10800.0,1.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykjanes_2023,1,2023-11-10T19:45:00+00:00,2023-11-10T22:45:00+00:00,VI.ASB,VI,ASB,HH,100.0,110.08243139921188,False,VI.ASB__HH__20231110T194500__20231110T224500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
