t0,t1,rule
2023-11-10T16:45:00.000000Z,2023-11-10T19:45:00.000000Z,"busiest 3 h window in 2023-11-10T12:00:00Z..2023-11-11T12:00:00Z, 87 catalogue events"
2023-11-10T19:45:00.000000Z,2023-11-10T22:45:00.000000Z,"busiest 3 h window in 2023-11-10T12:00:00Z..2023-11-11T12:00:00Z, 20 catalogue events"
