key,window,t0,t1,station,network,code,band,rate,km,fetched,file,measured,n_locations,n_channels,rates_hz,covered_any_s,covered_3c_s,coverage_fraction_3c,gap_count,gap_s,covered,ref_P_window,ref_S_window,ref_P_covered,ref_S_covered,ref_P_covered_rm,ref_S_covered_rm,manual_ok_P,manual_ok_S,unknown_ok_P,unknown_ok_S,automatic_rejected_P,automatic_rejected_S,unknown_rejected_P,unknown_rejected_S,other_P,other_S
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.GAZ,KO,GAZ,HH,100.0,18.81335979884159,True,KO.GAZ__HH__20230206T012735__20230206T042735.mseed,True,1.0,3.0,100,10353.0,10331.0,0.956574074074074,1.0,469.0,True,110,79,108,79,20,20,21,20,122,89,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.SARI,KO,SARI,HH,100.0,140.8388852635321,True,KO.SARI__HH__20230206T012735__20230206T042735.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,126,48,126,48,22,6,22,6,135,54,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.URFA,KO,URFA,HH,100.0,161.83682975677033,True,KO.URFA__HH__20230206T012735__20230206T042735.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,98,43,98,43,13,7,13,7,112,46,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.BNN,KO,BNN,HH,100.0,207.11513059366345,True,KO.BNN__HH__20230206T012735__20230206T042735.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,114,17,114,17,23,4,23,4,120,17,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.KOZT,KO,KOZT,HH,100.0,108.22667849256284,True,KO.KOZT__HH__20230206T012735__20230206T042735.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,89,41,89,41,0,0,0,0,89,41,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.DARE,KO,DARE,HH,100.0,154.7987022180204,True,KO.DARE__HH__20230206T012735__20230206T042735.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,75,43,75,43,0,0,0,0,76,43,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,TU.ANDN,TU,ANDN,HH,100.0,70.44368680842028,False,TU.ANDN__HH__20230206T012735__20230206T042735.mseed,False,,,,,,,,,False,50,28,0,0,0,0,19,8,54,28,4,2,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.CEYT,KO,CEYT,HH,100.0,114.5357399511562,False,KO.CEYT__HH__20230206T012735__20230206T042735.mseed,False,,,,,,,,,False,80,28,0,0,0,0,0,0,80,28,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.CMRD,KO,CMRD,EH,100.0,184.66205140075127,False,KO.CMRD__EH__20230206T012735__20230206T042735.mseed,False,,,,,,,,,False,79,15,0,0,0,0,0,0,79,15,0,0,0,0,0,0
kahramanmaras_2023,0,2023-02-06T01:27:35+00:00,2023-02-06T04:27:35+00:00,KO.KMRS,KO,KMRS,HH,100.0,32.477405178596314,False,KO.KMRS__HH__20230206T012735__20230206T042735.mseed,False,,,,,,,,,False,33,25,0,0,0,0,5,2,36,25,0,0,0,0,0,0
