key,weight,bin,mag_lo,mag_hi,n_reference,n_reference_covered,n_reference_outside_windows,n_matched,recovery,claim_supported
norcia_2016,instance,"[4, 5)",4.0,5.0,10,10,0,10,1.0,True
norcia_2016,instance,>= 5,5.0,inf,0,0,0,0,,False
norcia_2016,quakescope2026,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
norcia_2016,quakescope2026,"[1, 2)",1.0,2.0,0,0,0,0,,False
norcia_2016,quakescope2026,"[2, 3)",2.0,3.0,43,43,0,34,0.7906976744186046,True
norcia_2016,quakescope2026,"[3, 4)",3.0,4.0,99,97,2,77,0.7938144329896907,True
norcia_2016,quakescope2026,"[4, 5)",4.0,5.0,10,10,0,10,1.0,True
norcia_2016,quakescope2026,>= 5,5.0,inf,0,0,0,0,,False
thessaly_2021,jma_wc,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
thessaly_2021,jma_wc,"[1, 2)",1.0,2.0,0,0,0,0,,False
thessaly_2021,jma_wc,"[2, 3)",2.0,3.0,37,37,0,33,0.8918918918918919,True
thessaly_2021,jma_wc,"[3, 4)",3.0,4.0,31,30,1,30,1.0,True
thessaly_2021,jma_wc,"[4, 5)",4.0,5.0,7,6,1,6,1.0,True
thessaly_2021,jma_wc,>= 5,5.0,inf,1,1,0,1,1.0,True
thessaly_2021,instance,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
thessaly_2021,instance,"[1, 2)",1.0,2.0,0,0,0,0,,False
thessaly_2021,instance,"[2, 3)",2.0,3.0,37,37,0,32,0.8648648648648649,True
thessaly_2021,instance,"[3, 4)",3.0,4.0,31,30,1,29,0.9666666666666667,True
thessaly_2021,instance,"[4, 5)",4.0,5.0,7,6,1,6,1.0,True
thessaly_2021,instance,>= 5,5.0,inf,1,1,0,1,1.0,True
thessaly_2021,quakescope2026,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
thessaly_2021,quakescope2026,"[1, 2)",1.0,2.0,0,0,0,0,,False
thessaly_2021,quakescope2026,"[2, 3)",2.0,3.0,37,37,0,32,0.8648648648648649,True
thessaly_2021,quakescope2026,"[3, 4)",3.0,4.0,31,30,1,28,0.9333333333333333,True
thessaly_2021,quakescope2026,"[4, 5)",4.0,5.0,7,6,1,6,1.0,True
thessaly_2021,quakescope2026,>= 5,5.0,inf,1,1,0,1,1.0,True
samos_2020,jma_wc,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
samos_2020,jma_wc,"[1, 2)",1.0,2.0,0,0,0,0,,False
samos_2020,jma_wc,"[2, 3)",2.0,3.0,1,1,0,0,0.0,True
samos_2020,jma_wc,"[3, 4)",3.0,4.0,10,10,0,1,0.1,True
samos_2020,jma_wc,"[4, 5)",4.0,5.0,5,5,0,3,0.6,True
samos_2020,jma_wc,>= 5,5.0,inf,0,0,0,0,,False
samos_2020,instance,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
samos_2020,instance,"[1, 2)",1.0,2.0,0,0,0,0,,False
samos_2020,instance,"[2, 3)",2.0,3.0,1,1,0,1,1.0,True
samos_2020,instance,"[3, 4)",3.0,4.0,10,10,0,6,0.6,True
samos_2020,instance,"[4, 5)",4.0,5.0,5,5,0,3,0.6,True
samos_2020,instance,>= 5,5.0,inf,0,0,0,0,,False
samos_2020,quakescope2026,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
samos_2020,quakescope2026,"[1, 2)",1.0,2.0,0,0,0,0,,False
samos_2020,quakescope2026,"[2, 3)",2.0,3.0,1,1,0,0,0.0,True
samos_2020,quakescope2026,"[3, 4)",3.0,4.0,10,10,0,2,0.2,True
samos_2020,quakescope2026,"[4, 5)",4.0,5.0,5,5,0,2,0.4,True
samos_2020,quakescope2026,>= 5,5.0,inf,0,0,0,0,,False
adriatic_2022,jma_wc,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
adriatic_2022,jma_wc,"[1, 2)",1.0,2.0,16,16,0,13,0.8125,True
adriatic_2022,jma_wc,"[2, 3)",2.0,3.0,47,46,1,42,0.9130434782608695,True
adriatic_2022,jma_wc,"[3, 4)",3.0,4.0,10,8,2,5,0.625,True
adriatic_2022,jma_wc,"[4, 5)",4.0,5.0,0,0,0,0,,False
adriatic_2022,jma_wc,>= 5,5.0,inf,0,0,0,0,,False
adriatic_2022,instance,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
adriatic_2022,instance,"[1, 2)",1.0,2.0,16,16,0,15,0.9375,True
adriatic_2022,instance,"[2, 3)",2.0,3.0,47,46,1,45,0.9782608695652174,True
adriatic_2022,instance,"[3, 4)",3.0,4.0,10,8,2,6,0.75,True
adriatic_2022,instance,"[4, 5)",4.0,5.0,0,0,0,0,,False
adriatic_2022,instance,>= 5,5.0,inf,0,0,0,0,,False
adriatic_2022,quakescope2026,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
adriatic_2022,quakescope2026,"[1, 2)",1.0,2.0,16,16,0,14,0.875,True
adriatic_2022,quakescope2026,"[2, 3)",2.0,3.0,47,46,1,43,0.9347826086956522,True
adriatic_2022,quakescope2026,"[3, 4)",3.0,4.0,10,8,2,6,0.75,True
adriatic_2022,quakescope2026,"[4, 5)",4.0,5.0,0,0,0,0,,False
adriatic_2022,quakescope2026,>= 5,5.0,inf,0,0,0,0,,False
etna_2022_2024,jma_wc,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
etna_2022_2024,jma_wc,"[1, 2)",1.0,2.0,1515,32,1483,25,0.78125,True
etna_2022_2024,jma_wc,"[2, 3)",2.0,3.0,515,68,447,62,0.9117647058823529,True
etna_2022_2024,jma_wc,"[3, 4)",3.0,4.0,36,8,28,8,1.0,True
etna_2022_2024,jma_wc,"[4, 5)",4.0,5.0,2,0,2,0,,False
etna_2022_2024,jma_wc,>= 5,5.0,inf,0,0,0,0,,False
etna_2022_2024,instance,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
etna_2022_2024,instance,"[1, 2)",1.0,2.0,1515,32,1483,30,0.9375,True
etna_2022_2024,instance,"[2, 3)",2.0,3.0,515,68,447,65,0.9558823529411765,True
etna_2022_2024,instance,"[3, 4)",3.0,4.0,36,8,28,8,1.0,True
etna_2022_2024,instance,"[4, 5)",4.0,5.0,2,0,2,0,,False
etna_2022_2024,instance,>= 5,5.0,inf,0,0,0,0,,False
etna_2022_2024,quakescope2026,"[-inf, 1)",-inf,1.0,0,0,0,0,,False
etna_2022_2024,quakescope2026,"[1, 2)",1.0,2.0,1515,32,1483,24,0.75,True
etna_2022_2024,quakescope2026,"[2, 3)",2.0,3.0,515,68,447,63,0.9264705882352942,True
etna_2022_2024,quakescope2026,"[3, 4)",3.0,4.0,36,8,28,8,1.0,True
etna_2022_2024,quakescope2026,"[4, 5)",4.0,5.0,2,0,2,0,,False
