key,weight,event_idx,time,lat,lon,depth_km,n_picks,n_p,n_s,n_stations,n_p_and_s,misfit_s,nearest_event,nearest_dt_s,nearest_dist_km,nearest_class
kaikoura_2016,jma_wc,0,2016-11-13 11:17:26.332549888+00:00,-41.9241519520497,173.60101620491434,15.9375,7,5,2,5,2,0.9773185934339251,2016p858027,7.34,83.6,5<|dt|<=30s
kaikoura_2016,jma_wc,3,2016-11-13 11:21:17.107792896+00:00,-42.353150594109955,173.66295980199504,15.9375,6,4,2,4,2,0.4814602533976237,2016p858034,1.47,59.6,"|dt|<=5s, dist>30km"
kaikoura_2016,jma_wc,5,2016-11-13 11:26:38.356977920+00:00,-41.726127822191685,173.62140766462358,17.8125,9,4,5,6,3,0.6670307053460015,2016p858048,-83.26,36.5,30<|dt|<=120s
kaikoura_2016,jma_wc,6,2016-11-13 11:26:53.577102336+00:00,-41.82513891602177,173.62145481626823,15.9375,6,3,3,3,3,0.5117044448852539,2016p858048,-68.04,36.0,30<|dt|<=120s
kaikoura_2016,jma_wc,8,2016-11-13 11:28:42.480081408+00:00,-42.716127808115175,173.68412357180975,30.9375,6,3,3,4,2,0.5284287532170614,2016p858049,25.35,103.2,5<|dt|<=30s
kaikoura_2016,jma_wc,9,2016-11-13 11:29:47.449010944+00:00,-42.73258554684953,173.45589814307127,8.4375,6,4,2,4,2,0.9138114054997762,2016p858052,-37.44,24.0,30<|dt|<=120s
kaikoura_2016,jma_wc,10,2016-11-13 11:30:51.483554048+00:00,-42.00658149839087,173.72410395651053,14.0625,7,3,4,4,3,0.2473646913255964,2016p858054,11.04,111.1,5<|dt|<=30s
kaikoura_2016,jma_wc,12,2016-11-13 11:34:36.459685632+00:00,-41.67586434986595,174.0091178317042,15.9375,6,4,2,4,2,0.7130040327707926,2016p858059,-29.25,64.4,5<|dt|<=30s
kaikoura_2016,jma_wc,15,2016-11-13 11:36:30.028906496+00:00,-41.838656081992994,174.4193478022801,14.0625,6,3,3,4,2,0.31016023953755695,2016p858062,47.74,20.6,30<|dt|<=120s
kaikoura_2016,jma_wc,16,2016-11-13 11:39:25.955416320+00:00,-41.82476012434066,173.88736022679203,23.4375,7,4,3,4,3,0.2552644525255476,2016p858072,-56.74,131.4,30<|dt|<=120s
kaikoura_2016,jma_wc,20,2016-11-13 11:43:36.477391360+00:00,-42.82886314207937,172.79066109942323,59.0625,6,3,3,4,2,0.6396755377451578,2016p858077,-39.78,136.7,30<|dt|<=120s
kaikoura_2016,jma_wc,21,2016-11-13 11:45:04.942467072+00:00,-42.38613598579063,173.49791329304094,2.8125,7,4,3,5,2,0.21683648654392787,2016p858080,-21.05,98.5,5<|dt|<=30s
kaikoura_2016,jma_wc,25,2016-11-13 11:50:08.489725184+00:00,-42.02097758250536,174.29860957905396,0.9375,7,4,3,5,2,0.9801820346287319,2016p858089,-5.15,29.2,5<|dt|<=30s
kaikoura_2016,jma_wc,27,2016-11-13 11:51:38.494607360+00:00,-41.29705997392089,173.6212060455742,40.3125,7,4,3,5,2,0.1489079679761614,2016p858093,34.82,117.9,30<|dt|<=120s
kaikoura_2016,jma_wc,28,2016-11-13 11:52:00.953114624+00:00,-41.92115517935028,174.42041428802537,0.9375,6,4,2,4,2,0.6277523438135783,2016p858094,-43.4,74.3,30<|dt|<=120s
kaikoura_2016,jma_wc,30,2016-11-13 11:56:24.825562624+00:00,-41.772943135050674,174.3776263378858,12.1875,6,3,3,3,3,0.09694043795267741,2016p858095,163.08,10.0,|dt|>120s
kaikoura_2016,jma_wc,31,2016-11-13 11:58:41.310665728+00:00,-41.97272974913889,174.05205777984773,0.9375,7,4,3,5,2,0.36768460273742676,2016p858109,-56.41,39.9,30<|dt|<=120s
kaikoura_2016,jma_wc,33,2016-11-13 12:01:40.002383616+00:00,-42.01902309846422,172.61624807046306,59.0625,7,4,3,5,2,0.2268944808415004,2016p858110,41.08,149.8,30<|dt|<=120s
kaikoura_2016,jma_wc,34,2016-11-13 12:02:59.746539008+00:00,-41.50992636948501,174.21159553822156,0.9375,6,3,3,4,2,0.5018563667933146,2016p858115,-55.83,25.0,30<|dt|<=120s
kaikoura_2016,jma_wc,35,2016-11-13 12:03:16.340590592+00:00,-42.86091722972668,174.51605560730013,59.0625,8,5,3,6,2,0.5753116011619568,2016p858115,-39.24,128.8,30<|dt|<=120s
kaikoura_2016,jma_wc,37,2016-11-13 12:05:07.883889408+00:00,-41.69203974171396,174.0908710641402,15.9375,6,3,3,4,2,0.40309325853983563,2016p858117,41.21,13.4,30<|dt|<=120s
kaikoura_2016,jma_wc,38,2016-11-13 12:05:59.435990528+00:00,-42.64538970181539,174.63717923636827,59.0625,6,3,3,4,2,0.4971163272857666,2016p858118,-40.23,150.3,30<|dt|<=120s
kaikoura_2016,jma_wc,39,2016-11-13 12:06:12.370609920+00:00,-41.825106135701404,173.68281798988906,36.5625,6,3,3,4,2,0.6396304766337076,2016p858118,-27.3,111.4,5<|dt|<=30s
kaikoura_2016,jma_wc,40,2016-11-13 12:06:55.282365440+00:00,-41.88910109231491,174.27667717686342,12.1875,7,5,2,5,2,0.09660901342119489,2016p858118,15.61,144.0,5<|dt|<=30s
kaikoura_2016,jma_wc,41,2016-11-13 12:07:20.166607616+00:00,-41.82321953268783,174.2555199388227,0.9375,7,4,3,5,2,0.5462043285369873,2016p858122,-9.58,64.9,5<|dt|<=30s
kaikoura_2016,jma_wc,42,2016-11-13 12:09:10.431654912+00:00,-41.70721358669753,174.33599077087874,0.9375,8,4,4,5,3,0.4392370581626892,2016p858126,-50.08,5.0,30<|dt|<=120s
kaikoura_2016,jma_wc,45,2016-11-13 12:11:11.307781632+00:00,-41.97357912192698,173.72403510493987,15.9375,7,5,2,5,2,0.14952049936567033,2016p858131,-34.54,42.2,30<|dt|<=120s
kaikoura_2016,jma_wc,46,2016-11-13 12:11:58.945381376+00:00,-41.67504912335475,174.1927730550365,34.6875,8,5,3,5,3,0.45659250020980835,2016p858134,-1.69,35.8,"|dt|<=5s, dist>30km"
kaikoura_2016,jma_wc,48,2016-11-13 12:13:53.844531712+00:00,-41.115397247837976,173.41879676733376,0.9375,6,3,3,4,2,0.4300805727640788,2016p858132,32.3,88.6,30<|dt|<=120s
kaikoura_2016,jma_wc,50,2016-11-13 12:15:33.966856704+00:00,-41.74201239503132,173.9686910042696,0.9375,6,4,2,4,2,0.5607755184173584,2016p858139,-53.37,11.7,30<|dt|<=120s
kaikoura_2016,jma_wc,51,2016-11-13 12:15:46.709383680+00:00,-42.28696815787401,173.37444027705288,15.9375,7,5,2,5,2,0.6222450733184814,2016p858139,-40.62,72.1,30<|dt|<=120s
kaikoura_2016,jma_wc,53,2016-11-13 12:16:52.331157760+00:00,-41.83959985743535,174.27614829458597,17.8125,7,4,3,5,2,0.42708100591387066,2016p858139,25.0,22.0,5<|dt|<=30s
kaikoura_2016,jma_wc,54,2016-11-13 12:17:22.333844992+00:00,-42.17165688018414,173.53935901381436,0.9375,7,4,3,5,2,0.7199230875287738,2016p858144,-35.82,23.1,30<|dt|<=120s
kaikoura_2016,jma_wc,55,2016-11-13 12:18:04.088600064+00:00,-41.85597635017295,174.29678718010834,12.1875,6,3,3,4,2,0.2723945776621501,2016p858144,5.93,54.4,5<|dt|<=30s
kaikoura_2016,jma_wc,57,2016-11-13 12:20:01.505847808+00:00,-42.122143518221115,173.51884940627414,40.3125,7,3,4,5,2,0.3229061876024519,2016p858145,31.67,74.6,30<|dt|<=120s
kaikoura_2016,jma_wc,58,2016-11-13 12:20:37.831893760+00:00,-41.822975525031026,174.29642452460948,12.1875,7,5,2,5,2,0.21711969375610352,2016p858147,-3.07,57.8,"|dt|<=5s, dist>30km"
kaikoura_2016,jma_wc,59,2016-11-13 12:21:29.881185280+00:00,-41.75721674262961,174.25483837397041,0.9375,7,5,2,5,2,0.36027560915265766,2016p858146,-43.14,3.1,30<|dt|<=120s
kaikoura_2016,jma_wc,62,2016-11-13 12:25:10.838347264+00:00,-41.94057655498019,173.72396636844576,23.4375,7,4,3,5,2,0.16970157623291016,2016p858156,-44.53,107.4,30<|dt|<=120s
