key,weight,n_stations,n_events,n_matched
kaikoura_2016,jma_wc,3,4,1
kaikoura_2016,jma_wc,4,65,19
kaikoura_2016,jma_wc,5,80,34
kaikoura_2016,jma_wc,6,22,12
kaikoura_2016,instance,3,5,0
kaikoura_2016,instance,4,75,24
kaikoura_2016,instance,5,71,37
kaikoura_2016,instance,6,38,26
kaikoura_2016,quakescope2026,3,2,0
kaikoura_2016,quakescope2026,4,65,16
kaikoura_2016,quakescope2026,5,67,34
kaikoura_2016,quakescope2026,6,17,11
norcia_2016,jma_wc,3,10,2
norcia_2016,jma_wc,4,58,21
norcia_2016,jma_wc,5,61,42
norcia_2016,jma_wc,6,61,58
norcia_2016,instance,3,9,4
norcia_2016,instance,4,29,12
norcia_2016,instance,5,48,30
norcia_2016,instance,6,85,79
norcia_2016,quakescope2026,3,9,3
norcia_2016,quakescope2026,4,49,20
norcia_2016,quakescope2026,5,69,42
norcia_2016,quakescope2026,6,64,56
thessaly_2021,jma_wc,3,14,1
thessaly_2021,jma_wc,4,48,3
thessaly_2021,jma_wc,5,53,10
thessaly_2021,jma_wc,6,86,56
thessaly_2021,instance,3,3,0
thessaly_2021,instance,4,38,0
thessaly_2021,instance,5,45,4
thessaly_2021,instance,6,125,64
thessaly_2021,quakescope2026,3,7,1
thessaly_2021,quakescope2026,4,57,4
thessaly_2021,quakescope2026,5,48,13
thessaly_2021,quakescope2026,6,73,49
samos_2020,jma_wc,3,1,0
samos_2020,jma_wc,4,11,3
samos_2020,jma_wc,5,14,1
samos_2020,jma_wc,6,3,0
samos_2020,instance,3,2,0
samos_2020,instance,4,11,2
samos_2020,instance,5,18,1
samos_2020,instance,6,22,7
samos_2020,quakescope2026,3,1,0
samos_2020,quakescope2026,4,6,0
samos_2020,quakescope2026,5,17,3
samos_2020,quakescope2026,6,6,1
adriatic_2022,jma_wc,4,15,1
adriatic_2022,jma_wc,5,28,15
adriatic_2022,jma_wc,6,56,44
adriatic_2022,instance,3,2,0
adriatic_2022,instance,4,14,0
adriatic_2022,instance,5,22,7
adriatic_2022,instance,6,71,60
adriatic_2022,quakescope2026,3,2,0
adriatic_2022,quakescope2026,4,11,1
adriatic_2022,quakescope2026,5,28,15
adriatic_2022,quakescope2026,6,57,47
etna_2022_2024,jma_wc,3,1,0
etna_2022_2024,jma_wc,4,21,1
etna_2022_2024,jma_wc,5,27,3
etna_2022_2024,jma_wc,6,121,91
etna_2022_2024,instance,3,2,0
etna_2022_2024,instance,4,11,1
etna_2022_2024,instance,5,25,3
etna_2022_2024,instance,6,138,99
etna_2022_2024,quakescope2026,3,2,0
etna_2022_2024,quakescope2026,4,20,2
etna_2022_2024,quakescope2026,5,26,4
etna_2022_2024,quakescope2026,6,115,89
corinth_thiva_2020,jma_wc,3,37,0
corinth_thiva_2020,jma_wc,4,15,4
corinth_thiva_2020,jma_wc,5,25,9
corinth_thiva_2020,jma_wc,6,7,6
corinth_thiva_2020,instance,3,33,1
corinth_thiva_2020,instance,4,16,0
corinth_thiva_2020,instance,5,20,5
corinth_thiva_2020,instance,6,25,15
corinth_thiva_2020,quakescope2026,3,27,0
corinth_thiva_2020,quakescope2026,4,12,5
corinth_thiva_2020,quakescope2026,5,23,4
corinth_thiva_2020,quakescope2026,6,14,10
