key,regime,weight,status,access_id,model_id,config_region,config_version,config_sha256,pyocto_version,n_picks,n_stations,n_events,n_reference,n_matched,associate_runtime_s,wall_s,git_commit,note,out_dir,command
samos_2020,msas,instance,ok,a9f278a1-e9f7-42d8-83f3-74ceab2ea885,567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b,msas,1,be32d8ffcaa3f4e9884e5ee340838174d6d8939e05758765aec5a77e490d8ac8,0.2.0,1111,6,53,16,10,0.56,0.8,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/samos_2020/instance,python scripts/event_association.py --sequence samos_2020 --picks data/evaluation/scores/samos_2020/a9f278a1-e9f7-42d8-83f3-74ceab2ea885/picks.parquet --model-id 567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b --threshold-p 0.10 --threshold-s 0.24 --associator pyocto --out-dir data/evaluation/events/samos_2020/instance
samos_2020,msas,quakescope2026,ok,a9f278a1-e9f7-42d8-83f3-74ceab2ea885,9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f,msas,1,be32d8ffcaa3f4e9884e5ee340838174d6d8939e05758765aec5a77e490d8ac8,0.2.0,1148,6,30,16,4,0.57,0.8,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/samos_2020/quakescope2026,python scripts/event_association.py --sequence samos_2020 --picks data/evaluation/scores/samos_2020/a9f278a1-e9f7-42d8-83f3-74ceab2ea885/picks.parquet --model-id 9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f --threshold-p 0.20 --threshold-s 0.26 --associator pyocto --out-dir data/evaluation/events/samos_2020/quakescope2026
adriatic_2022,msas,jma_wc,ok,5b073e9c-07f3-4344-ac3c-4670874d4a87,8a1aff57fe9137f2283c7366123e5642a501b1c0fb032fdeb190b95b445c74d9,msas,1,be32d8ffcaa3f4e9884e5ee340838174d6d8939e05758765aec5a77e490d8ac8,0.2.0,1461,6,99,73,60,1.01,1.4,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/adriatic_2022/jma_wc,python scripts/event_association.py --sequence adriatic_2022 --picks data/evaluation/scores/adriatic_2022/5b073e9c-07f3-4344-ac3c-4670874d4a87/picks.parquet --model-id 8a1aff57fe9137f2283c7366123e5642a501b1c0fb032fdeb190b95b445c74d9 --threshold-p 0.30 --threshold-s 0.30 --associator pyocto --out-dir data/evaluation/events/adriatic_2022/jma_wc
adriatic_2022,msas,instance,ok,5b073e9c-07f3-4344-ac3c-4670874d4a87,567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b,msas,1,be32d8ffcaa3f4e9884e5ee340838174d6d8939e05758765aec5a77e490d8ac8,0.2.0,1476,6,109,73,67,3.38,3.7,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/adriatic_2022/instance,python scripts/event_association.py --sequence adriatic_2022 --picks data/evaluation/scores/adriatic_2022/5b073e9c-07f3-4344-ac3c-4670874d4a87/picks.parquet --model-id 567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b --threshold-p 0.06 --threshold-s 0.14 --associator pyocto --out-dir data/evaluation/events/adriatic_2022/instance
adriatic_2022,msas,quakescope2026,ok,5b073e9c-07f3-4344-ac3c-4670874d4a87,9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f,msas,1,be32d8ffcaa3f4e9884e5ee340838174d6d8939e05758765aec5a77e490d8ac8,0.2.0,1462,6,98,73,63,0.5,0.8,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/adriatic_2022/quakescope2026,python scripts/event_association.py --sequence adriatic_2022 --picks data/evaluation/scores/adriatic_2022/5b073e9c-07f3-4344-ac3c-4670874d4a87/picks.parquet --model-id 9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f --threshold-p 0.22 --threshold-s 0.22 --associator pyocto --out-dir data/evaluation/events/adriatic_2022/quakescope2026
etna_2022_2024,vt,jma_wc,ok,3ad2188d-4f4e-45e1-9981-5baac9e9f18d,8a1aff57fe9137f2283c7366123e5642a501b1c0fb032fdeb190b95b445c74d9,vt,1,703aa7c593a18591563de46b80d57b4fb69a9f85cd61488726737990e7736560,0.2.0,2301,6,170,2068,95,2.84,3.9,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/etna_2022_2024/jma_wc,python scripts/event_association.py --sequence etna_2022_2024 --picks data/evaluation/scores/etna_2022_2024/3ad2188d-4f4e-45e1-9981-5baac9e9f18d/picks.parquet --model-id 8a1aff57fe9137f2283c7366123e5642a501b1c0fb032fdeb190b95b445c74d9 --threshold-p 0.30 --threshold-s 0.30 --associator pyocto --out-dir data/evaluation/events/etna_2022_2024/jma_wc
etna_2022_2024,vt,instance,ok,3ad2188d-4f4e-45e1-9981-5baac9e9f18d,567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b,vt,1,703aa7c593a18591563de46b80d57b4fb69a9f85cd61488726737990e7736560,0.2.0,2328,6,176,2068,103,0.84,1.8,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/etna_2022_2024/instance,python scripts/event_association.py --sequence etna_2022_2024 --picks data/evaluation/scores/etna_2022_2024/3ad2188d-4f4e-45e1-9981-5baac9e9f18d/picks.parquet --model-id 567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b --threshold-p 0.04 --threshold-s 0.20 --associator pyocto --out-dir data/evaluation/events/etna_2022_2024/instance
etna_2022_2024,vt,quakescope2026,ok,3ad2188d-4f4e-45e1-9981-5baac9e9f18d,9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f,vt,1,703aa7c593a18591563de46b80d57b4fb69a9f85cd61488726737990e7736560,0.2.0,2249,6,163,2068,95,1.48,2.5,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/etna_2022_2024/quakescope2026,python scripts/event_association.py --sequence etna_2022_2024 --picks data/evaluation/scores/etna_2022_2024/3ad2188d-4f4e-45e1-9981-5baac9e9f18d/picks.parquet --model-id 9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f --threshold-p 0.22 --threshold-s 0.24 --associator pyocto --out-dir data/evaluation/events/etna_2022_2024/quakescope2026
corinth_thiva_2020,swarm,jma_wc,ok,a4c2ec78-d448-4117-b1bf-8c899a0c6bae,8a1aff57fe9137f2283c7366123e5642a501b1c0fb032fdeb190b95b445c74d9,swarm,1,b9ed1db8b94c8f21e423b7ae9cd695d39e19034a9871bc6975d7172720d92f35,0.2.0,2154,6,84,1016,19,1.03,1.6,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/corinth_thiva_2020/jma_wc,python scripts/event_association.py --sequence corinth_thiva_2020 --picks data/evaluation/scores/corinth_thiva_2020/a4c2ec78-d448-4117-b1bf-8c899a0c6bae/picks.parquet --model-id 8a1aff57fe9137f2283c7366123e5642a501b1c0fb032fdeb190b95b445c74d9 --threshold-p 0.30 --threshold-s 0.30 --associator pyocto --out-dir data/evaluation/events/corinth_thiva_2020/jma_wc
corinth_thiva_2020,swarm,instance,ok,a4c2ec78-d448-4117-b1bf-8c899a0c6bae,567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b,swarm,1,b9ed1db8b94c8f21e423b7ae9cd695d39e19034a9871bc6975d7172720d92f35,0.2.0,2057,6,94,1016,21,2.48,3.0,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/corinth_thiva_2020/instance,python scripts/event_association.py --sequence corinth_thiva_2020 --picks data/evaluation/scores/corinth_thiva_2020/a4c2ec78-d448-4117-b1bf-8c899a0c6bae/picks.parquet --model-id 567a2a17c9e6900018f709c24c191b10b0a544baf2cd1d3d47ba8a1bf796230b --threshold-p 0.04 --threshold-s 0.04 --associator pyocto --out-dir data/evaluation/events/corinth_thiva_2020/instance
corinth_thiva_2020,swarm,quakescope2026,ok,a4c2ec78-d448-4117-b1bf-8c899a0c6bae,9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f,swarm,1,b9ed1db8b94c8f21e423b7ae9cd695d39e19034a9871bc6975d7172720d92f35,0.2.0,2142,6,76,1016,19,0.92,1.4,65b018bfc031e34fe37141bbc6c6ed991a980c0e,,data/evaluation/events/corinth_thiva_2020/quakescope2026,python scripts/event_association.py --sequence corinth_thiva_2020 --picks data/evaluation/scores/corinth_thiva_2020/a4c2ec78-d448-4117-b1bf-8c899a0c6bae/picks.parquet --model-id 9cf7378e927f5ac7e5cd9f0e0f5d3053e69336c7295ae2f7140c138cca46861f --threshold-p 0.14 --threshold-s 0.20 --associator pyocto --out-dir data/evaluation/events/corinth_thiva_2020/quakescope2026
