key,weight,bin,lo,hi,n_reference,n_reference_covered,n_reference_outside_windows,n_matched,recovery,coverage_fraction,time_origin,time_origin_label,claim_supported
kaikoura_2016,jma_wc,"[0, 1)h",0.0,1.0,41,40,1,16,0.4,0.8333333333333334,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,jma_wc,"[1, 6)h",1.0,6.0,97,97,0,50,0.5154639175257731,0.43333333333333335,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,jma_wc,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,jma_wc,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,jma_wc,>= 48h,48.0,inf,0,0,0,0,,,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,instance,"[0, 1)h",0.0,1.0,41,40,1,25,0.625,0.8333333333333334,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,instance,"[1, 6)h",1.0,6.0,97,97,0,62,0.6391752577319587,0.43333333333333335,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,instance,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,instance,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,instance,>= 48h,48.0,inf,0,0,0,0,,,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,quakescope2026,"[0, 1)h",0.0,1.0,41,40,1,14,0.35,0.8333333333333334,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,quakescope2026,"[1, 6)h",1.0,6.0,97,97,0,47,0.4845360824742268,0.43333333333333335,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,quakescope2026,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,quakescope2026,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2016-11-13T11:02:56+00:00,mainshock,False
kaikoura_2016,quakescope2026,>= 48h,48.0,inf,0,0,0,0,,,2016-11-13T11:02:56+00:00,mainshock,False
norcia_2016,jma_wc,"[0, 1)h",0.0,1.0,66,64,2,50,0.78125,0.8333333333333334,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,jma_wc,"[1, 6)h",1.0,6.0,86,86,0,73,0.8488372093023255,0.23333333333333334,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,jma_wc,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,jma_wc,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,jma_wc,>= 48h,48.0,inf,0,0,0,0,,,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,instance,"[0, 1)h",0.0,1.0,66,64,2,49,0.765625,0.8333333333333334,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,instance,"[1, 6)h",1.0,6.0,86,86,0,76,0.8837209302325582,0.23333333333333334,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,instance,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,instance,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,instance,>= 48h,48.0,inf,0,0,0,0,,,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,quakescope2026,"[0, 1)h",0.0,1.0,66,64,2,50,0.78125,0.8333333333333334,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,quakescope2026,"[1, 6)h",1.0,6.0,86,86,0,71,0.8255813953488372,0.23333333333333334,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,quakescope2026,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,quakescope2026,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2016-10-30T06:40:18+00:00,mainshock,False
norcia_2016,quakescope2026,>= 48h,48.0,inf,0,0,0,0,,,2016-10-30T06:40:18+00:00,mainshock,False
thessaly_2021,jma_wc,"[0, 1)h",0.0,1.0,19,17,2,17,1.0,0.8333333333333334,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,jma_wc,"[1, 6)h",1.0,6.0,57,57,0,53,0.9298245614035088,0.43333333333333335,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,jma_wc,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,jma_wc,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,jma_wc,>= 48h,48.0,inf,0,0,0,0,,,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,instance,"[0, 1)h",0.0,1.0,19,17,2,16,0.9411764705882353,0.8333333333333334,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,instance,"[1, 6)h",1.0,6.0,57,57,0,52,0.9122807017543859,0.43333333333333335,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,instance,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,instance,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,instance,>= 48h,48.0,inf,0,0,0,0,,,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,quakescope2026,"[0, 1)h",0.0,1.0,19,17,2,16,0.9411764705882353,0.8333333333333334,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,quakescope2026,"[1, 6)h",1.0,6.0,57,57,0,51,0.8947368421052632,0.43333333333333335,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,quakescope2026,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,quakescope2026,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2021-03-03T10:16:08+00:00,mainshock,False
thessaly_2021,quakescope2026,>= 48h,48.0,inf,0,0,0,0,,,2021-03-03T10:16:08+00:00,mainshock,False
samos_2020,jma_wc,"[0, 1)h",0.0,1.0,6,6,0,1,0.16666666666666666,0.8333333333333334,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,jma_wc,"[1, 6)h",1.0,6.0,10,10,0,3,0.3,0.43333333333333335,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,jma_wc,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,jma_wc,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,jma_wc,>= 48h,48.0,inf,0,0,0,0,,,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,instance,"[0, 1)h",0.0,1.0,6,6,0,1,0.16666666666666666,0.8333333333333334,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,instance,"[1, 6)h",1.0,6.0,10,10,0,9,0.9,0.43333333333333335,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,instance,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,instance,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,instance,>= 48h,48.0,inf,0,0,0,0,,,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,quakescope2026,"[0, 1)h",0.0,1.0,6,6,0,0,0.0,0.8333333333333334,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,quakescope2026,"[1, 6)h",1.0,6.0,10,10,0,4,0.4,0.43333333333333335,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,quakescope2026,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,quakescope2026,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2020-10-30T11:51:27+00:00,mainshock,False
samos_2020,quakescope2026,>= 48h,48.0,inf,0,0,0,0,,,2020-10-30T11:51:27+00:00,mainshock,False
adriatic_2022,jma_wc,"[0, 1)h",0.0,1.0,35,32,3,26,0.8125,0.8333333333333334,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,jma_wc,"[1, 6)h",1.0,6.0,38,38,0,34,0.8947368421052632,0.43333333333333335,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,jma_wc,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,jma_wc,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,jma_wc,>= 48h,48.0,inf,0,0,0,0,,,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,instance,"[0, 1)h",0.0,1.0,35,32,3,30,0.9375,0.8333333333333334,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,instance,"[1, 6)h",1.0,6.0,38,38,0,36,0.9473684210526315,0.43333333333333335,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,instance,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,instance,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,instance,>= 48h,48.0,inf,0,0,0,0,,,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,quakescope2026,"[0, 1)h",0.0,1.0,35,32,3,29,0.90625,0.8333333333333334,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,quakescope2026,"[1, 6)h",1.0,6.0,38,38,0,34,0.8947368421052632,0.43333333333333335,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,quakescope2026,"[6, 24)h",6.0,24.0,0,0,0,0,,0.0,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,quakescope2026,"[24, 48)h",24.0,48.0,0,0,0,0,,0.0,2022-11-09T06:07:25+00:00,mainshock,False
adriatic_2022,quakescope2026,>= 48h,48.0,inf,0,0,0,0,,,2022-11-09T06:07:25+00:00,mainshock,False
etna_2022_2024,jma_wc,"[0, 1)h",0.0,1.0,31,31,0,29,0.9354838709677419,1.0,2022-08-29T19:15:00+00:00,first_window_start,True
etna_2022_2024,jma_wc,"[1, 6)h",1.0,6.0,40,34,6,26,0.7647058823529411,0.4,2022-08-29T19:15:00+00:00,first_window_start,False
etna_2022_2024,jma_wc,"[6, 24)h",6.0,24.0,30,0,30,0,,0.0,2022-08-29T19:15:00+00:00,first_window_start,False
etna_2022_2024,jma_wc,"[24, 48)h",24.0,48.0,11,0,11,0,,0.0,2022-08-29T19:15:00+00:00,first_window_start,False
etna_2022_2024,jma_wc,>= 48h,48.0,inf,1573,43,1530,40,0.9302325581395349,0.0001466661986946619,2022-08-29T19:15:00+00:00,first_window_start,False
etna_2022_2024,instance,"[0, 1)h",0.0,1.0,31,31,0,31,1.0,1.0,2022-08-29T19:15:00+00:00,first_window_start,True
