key,phase,instance,jma_wc,quakescope2026,target,thr_instance,thr_jma_wc,thr_quakescope2026
adriatic_2022,P,0.893,0.863,0.852,930,0.06,0.3,0.22
adriatic_2022,S,0.692,0.538,0.543,531,0.14,0.3,0.22
corinth_thiva_2020,P,0.833,0.806,0.824,1308,0.04,0.3,0.14
corinth_thiva_2020,S,0.609,0.437,0.471,846,0.04,0.3,0.2
etna_2022_2024,P,0.99,0.972,0.98,1767,0.04,0.3,0.22
etna_2022_2024,S,0.722,0.539,0.557,534,0.2,0.3,0.24
kaikoura_2016,P,0.751,0.703,0.695,1819,0.04,0.3,0.26
kaikoura_2016,S,0.705,0.52,0.502,1032,0.1,0.3,0.3
norcia_2016,P,0.819,0.795,0.786,1347,0.04,0.3,0.26
norcia_2016,S,0.886,0.779,0.767,1198,0.04,0.3,0.28
samos_2020,P,0.471,0.294,0.382,857,0.1,0.3,0.2
samos_2020,S,0.208,0.083,0.083,285,0.24,0.3,0.26
thessaly_2021,P,0.77,0.747,0.732,1733,0.04,0.3,0.26
thessaly_2021,S,0.444,0.402,0.399,1057,0.12,0.3,0.26
