t0,t1,rule
2017-11-17T11:00:00.000000Z,2017-11-17T14:00:00.000000Z,"busiest 3 h window in 2017-08-01T00:00:00Z..2019-03-31T23:59:59Z, 31 catalogue events"
2018-11-26T09:15:00.000000Z,2018-11-26T12:15:00.000000Z,"busiest 3 h window in 2017-08-01T00:00:00Z..2019-03-31T23:59:59Z, 32 catalogue events"
