station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
FR.RSL,FR,RSL,HH,100.0,45.688207,6.624517,1590.0,50.02948327928986,RESIF,60,59,119,True
FR.OGVG,FR,OGVG,HH,100.0,44.815507,6.1112,1090.0,55.87447671748373,RESIF,56,53,109,True
FR.OGSA,FR,OGSA,HH,100.0,45.036806,6.400931,2106.0,30.315263148878536,RESIF,46,53,99,True
RD.ORIF,RD,ORIF,BH,50.0,44.9183,5.88,1080.0,53.73564792157054,RESIF,45,51,96,True
FR.OGGM,FR,OGGM,HH,100.0,45.205717,6.116735,1575.0,17.767477066689825,RESIF,40,49,89,True
Z3.A181A,Z3,A181A,HH,100.0,45.3805,6.302,1305.0,8.952159732700379,RESIF,43,43,86,True
GU.RRL,GU,RRL,HH,100.0,44.921,6.79,2086.0,57.046628119556985,eida,22,26,48,False
FR.OG35,FR,OG35,HH,100.0,46.044516,5.571265,896.0,100.29215720987644,RESIF,23,17,40,False
GU.LSD,GU,LSD,HH,100.0,45.4596,7.1339,2271.0,67.50188744753676,eida,17,19,36,False
FR.OGMO,FR,OGMO,HH,100.0,45.20865,6.68308,1200.0,31.65858311579014,RESIF,17,16,33,False
FR.OGMY,FR,OGMY,HH,100.0,45.881011,5.889317,656.0,72.07332090458182,RESIF,15,15,30,False
FR.OGAG,FR,OGAG,HH,100.0,44.78784,6.539745,1280.0,59.98098680515794,RESIF,13,11,24,False
GU.RSP,GU,RSP,HH,100.0,45.1482,7.2649,1265.0,77.42778209836335,eida,9,9,18,False
FR.OGSM,FR,OGSM,HH,100.0,45.609238,5.697216,532.0,58.246677093948485,RESIF,8,6,14,False
Z3.A178B,Z3,A178B,HH,100.0,45.6877,6.30458,895.0,43.109841002286124,RESIF,5,6,11,False
GU.PZZ,GU,PZZ,HH,100.0,44.5065,7.1157,1397.0,109.13767160877846,eida,7,2,9,False
GU.REMY,GU,REMY,HH,100.0,45.8378,7.1565,2390.0,89.55643108436132,eida,5,3,8,False
GU.BHB,GU,BHB,HH,100.0,44.8355,7.263,576.0,91.57713604836866,eida,6,2,8,False
GU.CIRO,GU,CIRO,HH,100.0,45.6019,7.5681,2462.0,104.45367303635771,eida,4,3,7,False
FR.GRN,FR,GRN,HH,100.0,45.2413,5.7439,1040.0,44.00200839601176,RESIF,5,1,6,False
FR.OGCB,FR,OGCB,HH,100.0,44.850189,5.096617,781.0,106.90842289241948,RESIF,3,3,6,False
FR.JAUF,FR,JAUF,EH,100.0,44.429,6.7488,1641.0,103.1025765636652,RESIF,4,1,5,False
FR.CREF,FR,CREF,EH,100.0,44.549681,6.621956,1692.0,87.19305279786778,RESIF,2,2,4,False
FR.OGSI,FR,OGSI,HH,100.0,46.056477,6.756875,750.0,91.29421881102203,RESIF,2,2,4,False
FR.SURF,FR,SURF,HH,100.0,44.480935,6.811695,1820.0,99.59263956669764,RESIF,3,1,4,False
Z3.A215A,Z3,A215A,HH,100.0,45.4307,5.23226,450.0,84.66796032251062,RESIF,2,0,2,False
Z3.A186B,Z3,A186B,HH,100.0,44.793,5.5892,978.0,79.34706174071148,RESIF,1,0,1,False
FR.OGCN,FR,OGCN,HH,100.0,45.153892,5.088958,369.0,96.21851555295164,RESIF,1,0,1,False
Z3.A185A,Z3,A185A,HH,100.0,45.1209,5.0728,420.0,98.17127782364489,RESIF,1,0,1,False
YW.PERR,YW,PERR,HH,200.0,45.3789,6.34939,1323.0,9.584580235237956,RESIF,0,0,0,False
YW.DURI,YW,DURI,HH,200.0,45.421,6.29108,643.0,13.47202677081358,RESIF,0,0,0,False
YW.LONG,YW,LONG,HH,200.0,45.4179,6.36415,1598.0,14.034731791596004,RESIF,0,0,0,False
YW.EPIR,YW,EPIR,HH,200.0,45.4544,6.29608,381.0,17.170465850807936,RESIF,0,0,0,False
YW.ARGT,YW,ARGT,HH,200.0,45.494,6.31336,414.0,21.596065844528727,RESIF,0,0,0,False
1N.GRA,1N,GRA,HH,100.0,45.469638,5.972716,520.0,31.765103016754992,RESIF,0,0,0,False
