t0,t1,rule
2022-08-29T19:15:00.000000Z,2022-08-29T22:15:00.000000Z,"busiest 3 h window in 2022-01-01T00:00:00Z..2024-12-31T23:59:59Z, 65 catalogue events"
2023-06-04T16:15:00.000000Z,2023-06-04T19:15:00.000000Z,"busiest 3 h window in 2022-01-01T00:00:00Z..2024-12-31T23:59:59Z, 43 catalogue events"
