code,station,ambiguous
AAA,,
AAK,,
AB31,,
ABNA,,
ABR01,,
ABTA,,
ABTO,,
ACHL,,
ACOR,,
ADK,,
ADZR,,
AFI,,
AHRW,,
AJN,,
AK03,,
AK05,,
AK08,,
AK13,,
AK18,,
AK21,,
AK23,,
AKASG,,
AKBB,,
AKT,,
AKTO,,
ALBI,,
ALCI,,
ALE,,
ALN,,
ALNE,,
AMBA,,
AMPE,,
AMPL,,
AMT,,
ANDR,,
ANKY,,
ANM,,
ANMO,,
ANN,,
ANX,,
APA,,
APE,,
AQDB,,
AQU,,
ARCES,,
ARCR,,
ARG,,
ARQ,,
ARR,,
ARSA,,
ARTI,,
AS01,,
AS31,,
ASAJ,,
ASAR,,
ASHO,,
ASSE,,
ASUD,,
ATAH,,
ATAL,,
ATH,,
ATHR,,
ATM1,,
AXAR,,
AYAN,,
AZL,,
BANOM,,
BB19B,,
BCAR,,
BDFB,,
BDRM,,
BEDC,,
BEL,,
BFO,,
BHK,,
BHPL,,
BIDO,,
BILL,,
BIOA,,
BISRR,,
BJI2,,
BJT,,
BKB,,
BLCB,,
BLSH,,
BLSP,,
BLY,,
BMO,,
BMR,,
BMRD,,
BNDI,,
BNX,,
BOK,,
BORG,,
BORK,,
BOSA,,
BOSR,,
BOVS,,
BR131,,
BRG,,
BRLS,,
BRTR,,
BRZS,,
BSEG,,
BSKQ,,
BSY,,
BSZH,,
BTLS,,
BUG,,
BURAR,,
BVA2,,
BVAR,,
BWNR,,
BZS,,
C2SB,,
CAN,,
CANS,,
CBBR,,
CCM,,
CD2,,
CFR,,
CHM,,
CHMS,,
CHOS,,
CHTO,,
CHVC,,
CIT,,
CJR,,
CKRC,,
CLDB,,
CLL,,
CLZ,,
CM31,,
CMAR,,
CMBO,,
CN2,,
CNSH,,
COCO,,
COIM,,
COLA,,
CONA,,
COR,,
CPSB,,
CPSR,,
CPUP,,
CRES,,
CTA,,
CTAO,,
CTI,,
CVSR,,
DAG,,
DALR,,
DAV,,
DAVA,,
DAVOX,,
DBF,,
DBIC,,
DBRR,,
DEV,,
DGPR,,
DGZ,,
DHRM,,
DIM,,
DL2,,
DLBC,,
DMLN,,
DMTO,,
DOK,,
DOMV,,
DOPR,,
DOU,,
DPC,,
DQM,,
DRGR,,
DRO,,
DSB,,
DSF,,
DUG,,
DZA,,
ECH,,
EDM,,
EFP,,
EKA,,
EKS2,,
ELK,,
ELND,,
ENEZ,,
ERBR,,
ERM,,
ERTR,,
ESDC,,
ESK,,
EVGI,,
EZN,,
FAKI,,
FAQ,,
FCC,,
FETA,,
FETY,,
FFC,,
FINES,,
FITZ,,
FLNA,,
FLTG,,
FRB,,
FRTB,,
FSK,,
FUR,,
GADA,,
GEC2,,
GERES,,
GEYT,,
GKP,,
GLA,,
GNI,,
GOA,,
GOF,,
GOMU,,
GRF,,
GRFO,,
GRG,,
GRNR,,
GSI,,
GTA2,,
GUMO,,
GUR,,
GVD,,
GVDS,,
GZH2,,
HAPS,,
HARR,,
HATD,,
HAVD,,
HEH,,
HERR,,
HFS,,
HHC,,
HHU,,
HIA,,
HILR,,
HJU,,
HNLY,,
HNR,,
HNS,,
HOMI,,
HOQ,,
HORT,,
HPIG,,
HRV,,
HSKC,,
HSPB,,
HUMR,,
HYB,,
IBBN,,
IBZR,,
ICOR,,
IDGL,,
IDI,,
IGLA,,
IGT,,
ILAR,,
ILTH,,
IMAC,,
IMAR,,
IMAY,,
IMIC,,
IMMV,,
IMOD,,
IMP,,
INCN,,
INK,,
IPFO,,
IPMB,,
IPPL,,
IRK,,
ISCO,,
