key,window,t0,t1,station,network,code,band,rate,km,fetched,file,measured,n_locations,n_channels,rates_hz,covered_any_s,covered_3c_s,coverage_fraction_3c,gap_count,gap_s,covered,ref_P_window,ref_S_window,ref_P_covered,ref_S_covered,ref_P_covered_rm,ref_S_covered_rm,manual_ok_P,manual_ok_S,unknown_ok_P,unknown_ok_S,automatic_rejected_P,automatic_rejected_S,unknown_rejected_P,unknown_rejected_S,other_P,other_S
noto_2024,0,2024-01-01T07:20:09+00:00,2024-01-01T10:20:09+00:00,JP.JSD,JP,JSD,BH,20.0,105.5137702521806,True,JP.JSD__BH__20240101T072009__20240101T102009.mseed,True,1.0,3.0,20,10800.0,10800.0,1.0,0.0,0.0,True,62,66,62,66,24,13,24,13,83,77,2,0,0,0,0,0
noto_2024,0,2024-01-01T07:20:09+00:00,2024-01-01T10:20:09+00:00,IM.MJAR,IM,MJAR,HH,80.0,135.28548935972844,False,IM.MJAR__HH__20240101T072009__20240101T102009.mseed,False,,,,,,,,,False,79,0,0,0,0,0,24,0,108,0,0,0,0,0,0,0
noto_2024,0,2024-01-01T07:20:09+00:00,2024-01-01T10:20:09+00:00,IU.MAJO,IU,MAJO,HH,100.0,134.6661304914566,True,IU.MAJO__HH__20240101T072009__20240101T102009.mseed,True,2.0,6.0,100,10247.200000047684,10245.519999980927,0.9486592592574932,1.0,554.4716069698334,True,38,15,38,15,25,10,25,10,62,16,2,0,0,0,0,0
