station,network,code,band,rate,km,route,P,S,picks,fetched
JP.JSD,JP,JSD,BH,20.0,105.5137702521806,IRIS,107,90,197,True
IM.MJAR,IM,MJAR,HH,80.0,135.28548935972844,IRIS,132,0,132,False
IU.MAJO,IU,MAJO,HH,100.0,134.6661304914566,IRIS,87,26,113,True
